	nb_faux_a	contextes_a	nb_bon_a	nb_faux_A	contextes_A	nb_bon_A	nb_faux_a_max	contexte_a_avec_fauxMax	nb_faux_A_max	contexte_A_avec_fauxMax
26_11_07_nb1_1_16	2	labial_dorsal/dorsal_pause	53	2	m_coronal/labial_coronal	53	1	labial_dorsal/dorsal_pause	1	m_coronal/labial_coronal
26_11_07_nb1_2_16	4	labial_coronal/labial_m/dorsal_pause/pause_m	51	3	coronal_dorsal	52	1	labial_coronal/labial_m/dorsal_pause/pause_m	3	coronal_dorsal
26_11_07_nb2_1_16	4	coronal_pause/dorsal_pause/dorsal_labial/labial_labial	51	4	dorsal_coronal/pause_m/coronal_dorsal/coronal_pause	51	1	coronal_pause/dorsal_pause/dorsal_labial/labial_labial	1	dorsal_coronal/pause_m/coronal_dorsal/coronal_pause
26_11_07_nb2_2_16	1	dorsal_coronal	54	0		55	1	dorsal_coronal	0	
26_11_07_nb3_1_16	2	dorsal_coronal/dorsal_pause	53	3	dorsal_m/pause_dorsal/coronal_coronal	52	1	dorsal_coronal/dorsal_pause	1	dorsal_m/pause_dorsal/coronal_coronal
26_11_07_nb3_2_16	1	coronal_dorsal	54	4	m_coronal/pause_n/coronal_dorsal	51	1	coronal_dorsal	2	coronal_dorsal
27_11_07_nb1_1_16	2	dorsal_pause/labial_dorsal	53	1	coronal_coronal	54	1	dorsal_pause/labial_dorsal	1	coronal_coronal
27_11_07_nb1_2_16	1	coronal_pause	54	0		55	1	coronal_pause	0	
27_11_07_nb2_1_16	1	pause_n	54	4	coronal_coronal/dorsal_pause	51	1	pause_n	3	coronal_coronal
27_11_07_nb2_2_16	4	labial_dorsal/labial_pause/dorsal_pause/dorsal_dorsal	51	1	coronal_labial	54	1	labial_dorsal/labial_pause/dorsal_pause/dorsal_dorsal	1	coronal_labial
28_11_07_nb1_1_16	0		55	8	dorsal_coronal/labial_coronal/coronal_labial/pause_labial/dorsal_n/m_coronal/coronal_coronal/coronal_dorsal	47	0		1	dorsal_coronal/labial_coronal/coronal_labial/pause_labial/dorsal_n/m_coronal/coronal_coronal/coronal_dorsal
28_11_07_nb1_2_16	1	m_coronal	54	5	coronal_coronal/m_labial/dorsal_coronal	50	1	m_coronal	2	coronal_coronal/dorsal_coronal
28_11_07_nb2_1_16	7	dorsal_pause/coronal_pause/pause_labial/pause_dorsal/coronal_dorsal	48	2	m_coronal/coronal_coronal	53	2	dorsal_pause/coronal_pause	1	m_coronal/coronal_coronal
28_11_07_nb2_2_16	0		55	7	pause_pause/coronal_coronal/coronal_pause/m_coronal/dorsal_labial	48	0		2	coronal_coronal/m_coronal
29_11_07_nb1_2_16	2	n_coronal/labial_coronal	53	16	m_coronal/coronal_labial/coronal_pause/dorsal_coronal/coronal_dorsal/coronal_coronal	39	1	n_coronal/labial_coronal	4	coronal_pause/dorsal_coronal
29_11_07_nb2_1_16	4	dorsal_pause/dorsal_dorsal	51	4	dorsal_coronal/coronal_dorsal/pause_labial	51	3	dorsal_pause	2	dorsal_coronal
29_11_07_nb2_2_16	7	labial_pause/labial_dorsal/dorsal_coronal/dorsal_pause/n_pause	48	2	labial_labial/coronal_n	53	3	dorsal_pause	1	labial_labial/coronal_n
30_11_07_nb1_1_16	9	dorsal_pause/dorsal_coronal/labial_dorsal/coronal_pause/coronal_dorsal/labial_m/dorsal_dorsal	46	6	coronal_labial/coronal_dorsal/m_coronal/coronal_coronal/pause_pause/m_pause	49	2	dorsal_pause/coronal_pause	1	coronal_labial/coronal_dorsal/m_coronal/coronal_coronal/pause_pause/m_pause
30_11_07_nb1_2_16	4	coronal_coronal/labial_dorsal/m_coronal	51	1	coronal_dorsal	54	2	coronal_coronal	1	coronal_dorsal
05_12_07_nb1_1_16	9	dorsal_coronal/dorsal_dorsal/labial_dorsal/coronal_coronal/coronal_dorsal/m_labial/pause_dorsal/dorsal_pause	46	2	coronal_coronal	53	2	labial_dorsal	2	coronal_coronal
05_12_07_nb1_2_16	4	dorsal_dorsal/labial_dorsal/pause_labial/dorsal_pause	51	1	m_coronal	54	1	dorsal_dorsal/labial_dorsal/pause_labial/dorsal_pause	1	m_coronal
