	son	contexte_gauche	contexte_droit	contextes	temps_debut	temps_fin	proba_oral	proba_nasal
1	a	labial	coronal	labial_coronal	1602.033	1602.113	0.999692	0.000308
2	a	coronal	dorsal	coronal_dorsal	1564.972	1565.042	0.985651	0.014349
3	a	dorsal	coronal	dorsal_coronal	1590.018	1590.098	0.869536	0.130464
4	a	dorsal	dorsal	dorsal_dorsal	1593.111	1593.271	0.999973	0.000027
5	a	labial	dorsal	labial_dorsal	1621.603	1621.673	0.999936	0.000064
6	a	dorsal	dorsal	dorsal_dorsal	1591.521	1591.601	0.479371	0.520629
7	a	labial	coronal	labial_coronal	1603.233	1603.303	0.999917	0.000083
8	a	labial	dorsal	labial_dorsal	1601.053	1601.123	0.999993	0.000007
9	a	labial	dorsal	labial_dorsal	1565.142	1565.222	0.017543	0.982457
10	a	m	coronal	m_coronal	1835.617	1835.687	1.000000	0.000000
11	a	dorsal	coronal	dorsal_coronal	1847.352	1847.422	0.992115	0.007885
12	a	pause	labial	pause_labial	1865.234	1865.304	0.086590	0.913410
13	a	labial	dorsal	labial_dorsal	1633.001	1633.091	0.999760	0.000240
14	a	coronal	pause	coronal_pause	1625.276	1625.346	0.999985	0.000015
15	a	coronal	pause	coronal_pause	1660.953	1661.023	0.999999	0.000001
16	a	labial	dorsal	labial_dorsal	1838.959	1839.039	0.984145	0.015855
17	a	coronal	n	coronal_n	1743.687	1743.757	1.000000	0.000000
18	a	m	labial	m_labial	1832.558	1832.628	0.980629	0.019371
19	a	coronal	labial	coronal_labial	1632.551	1632.631	0.999986	0.000014
20	a	coronal	m	coronal_m	1732	1732.08	1.000000	0.000000
21	a	labial	coronal	labial_coronal	1732.91	1732.98	0.999201	0.000799
22	a	coronal	coronal	coronal_coronal	1757.958	1758.058	0.999997	0.000003
23	a	coronal	labial	coronal_labial	1922.528	1922.598	0.999509	0.000491
24	a	coronal	coronal	coronal_coronal	2056.608	2056.688	0.999993	0.000007
25	a	coronal	labial	coronal_labial	2022.444	2022.524	1.000000	0.000000
26	a	labial	coronal	labial_coronal	2018.735	2018.805	0.999965	0.000035
27	a	pause	n	pause_n	1973.859	1973.979	0.999977	0.000023
28	a	coronal	m	coronal_m	1896.056	1896.126	0.999997	0.000003
29	a	coronal	pause	coronal_pause	2025.942	2026.102	0.992773	0.007228
30	a	dorsal	pause	dorsal_pause	2012.271	2012.341	0.928796	0.071204
31	a	coronal	coronal	coronal_coronal	1959.517	1959.597	0.999999	0.000001
32	a	dorsal	dorsal	dorsal_dorsal	1941.316	1941.426	0.999999	0.000001
33	a	coronal	labial	coronal_labial	1924.531	1924.631	1.000000	0.000000
34	a	labial	dorsal	labial_dorsal	1920.396	1920.506	0.999893	0.000107
35	a	dorsal	dorsal	dorsal_dorsal	1933.553	1933.653	0.998952	0.001048
36	a	dorsal	coronal	dorsal_coronal	1935.123	1935.193	0.855542	0.144458
37	a	labial	coronal	labial_coronal	2027.562	2027.632	0.999874	0.000126
38	a	pause	coronal	pause_coronal	1892.463	1892.533	0.990546	0.009454
39	a	pause	coronal	pause_coronal	2093.051	2093.151	0.999998	0.000002
40	a	coronal	labial	coronal_labial	1928.379	1928.449	0.999985	0.000015
41	a	labial	dorsal	labial_dorsal	2026.812	2026.882	0.997897	0.002103
42	a	dorsal	pause	dorsal_pause	1941.506	1941.576	0.118255	0.881745
43	a	m	coronal	m_coronal	2045.925	2046.025	0.999987	0.000013
44	a	coronal	pause	coronal_pause	1943.804	1943.944	0.997840	0.002160
45	a	dorsal	dorsal	dorsal_dorsal	1888.206	1888.326	0.996752	0.003248
46	a	labial	dorsal	labial_dorsal	1922.708	1922.778	0.999994	0.000006
47	a	n	labial	n_labial	2103.113	2103.203	1.000000	0.000000
48	a	pause	coronal	pause_coronal	2123.497	2123.617	0.999786	0.000214
49	a	coronal	coronal	coronal_coronal	2093.181	2093.271	1.000000	0.000000
50	a	labial	coronal	labial_coronal	2130.111	2130.201	0.999846	0.000154
51	a	coronal	coronal	coronal_coronal	2103.853	2103.943	0.999946	0.000054
52	a	labial	m	labial_m	2131.771	2131.841	0.997886	0.002114
53	a	coronal	coronal	coronal_coronal	2136.863	2136.933	0.991981	0.008019
54	a	labial	labial	labial_labial	2145.294	2145.364	0.993848	0.006152
55	a	coronal	pause	coronal_pause	2098.549	2098.629	0.790648	0.209351
56	A	m	coronal	m_coronal	1404.203	1404.273	0.000115	0.999885
57	A	m	coronal	m_coronal	1352.378	1352.438	0.000270	0.999730
58	A	dorsal	n	dorsal_n	1331.285	1331.315	0.000222	0.999778
59	A	m	labial	m_labial	1387.448	1387.538	0.000000	1.000000
60	A	coronal	dorsal	coronal_dorsal	1371.418	1371.538	0.000000	1.000000
61	A	m	pause	m_pause	1327.906	1328.056	0.000000	1.000000
62	A	m	coronal	m_coronal	1323.255	1323.335	0.000164	0.999836
63	A	dorsal	coronal	dorsal_coronal	1373.736	1373.806	0.052346	0.947654
64	A	n	coronal	n_coronal	1419.235	1419.355	0.000003	0.999997
65	A	coronal	coronal	coronal_coronal	1327.526	1327.636	0.000000	1.000000
66	A	m	coronal	m_coronal	1356.61	1356.69	0.335350	0.664650
67	A	coronal	coronal	coronal_coronal	1403.963	1404.013	0.000009	0.999991
68	A	m	pause	m_pause	1355.28	1355.35	0.167625	0.832375
69	A	dorsal	coronal	dorsal_coronal	1370.488	1370.558	0.000748	0.999252
70	A	labial	coronal	labial_coronal	1374.126	1374.176	0.001203	0.998797
71	A	dorsal	coronal	dorsal_coronal	1400.998	1401.048	0.000151	0.999849
72	A	dorsal	coronal	dorsal_coronal	1370.098	1370.158	0.000009	0.999991
73	A	dorsal	coronal	dorsal_coronal	1435.608	1435.708	0.000006	0.999994
74	A	m	coronal	m_coronal	1432.286	1432.356	0.607589	0.392411
75	A	coronal	labial	coronal_labial	1439.045	1439.105	0.000112	0.999888
76	A	pause	pause	pause_pause	1439.995	1440.065	0.000046	0.999954
77	A	coronal	coronal	coronal_coronal	1462.311	1462.461	0.000000	1.000000
78	A	coronal	coronal	coronal_coronal	1438.395	1438.505	0.000000	1.000000
79	A	m	dorsal	m_dorsal	1454.632	1454.822	0.000000	1.000000
80	A	n	dorsal	n_dorsal	1446.937	1447.037	0.000000	1.000000
81	A	n	dorsal	n_dorsal	1470.365	1470.465	0.000330	0.999670
82	A	coronal	pause	coronal_pause	1443.787	1443.917	0.000000	1.000000
83	A	coronal	dorsal	coronal_dorsal	1452.712	1452.802	0.000000	1.000000
84	A	m	coronal	m_coronal	1451.442	1451.512	0.000033	0.999967
85	A	coronal	labial	coronal_labial	1463.779	1463.859	0.000005	0.999995
86	A	m	coronal	m_coronal	1431.516	1431.576	0.000187	0.999813
87	A	coronal	m	coronal_m	1458.004	1458.064	0.000834	0.999166
88	A	dorsal	dorsal	dorsal_dorsal	1466.485	1466.605	0.000464	0.999536
89	A	coronal	dorsal	coronal_dorsal	1467.095	1467.195	0.000000	1.000000
