	son	contexte_gauche	contexte_droit	contextes	proba_oral	proba_nasal
1	a	dorsal	coronal	dorsal_coronal	0.873535	0.126465
2	a	labial	coronal	labial_coronal	0.992109	0.007891
3	a	labial	coronal	labial_coronal	0.999751	0.000249
4	a	dorsal	coronal	dorsal_coronal	1.000000	0.000000
5	a	labial	coronal	labial_coronal	1.000000	0.000000
6	a	dorsal	coronal	dorsal_coronal	1.000000	0.000000
7	a	n	coronal	n_coronal	0.999999	0.000001
8	a	labial	dorsal	labial_dorsal	1.000000	0.000000
9	a	coronal	coronal	coronal_coronal	1.000000	0.000000
10	a	dorsal	pause	dorsal_pause	0.888497	0.111503
11	a	coronal	coronal	coronal_coronal	1.000000	0.000000
12	a	pause	coronal	pause_coronal	1.000000	0.000000
13	a	coronal	m	coronal_m	0.992499	0.007501
14	a	n	coronal	n_coronal	1.000000	0.000000
15	a	dorsal	dorsal	dorsal_dorsal	0.999821	0.000179
16	a	coronal	coronal	coronal_coronal	1.000000	0.000000
17	a	coronal	coronal	coronal_coronal	1.000000	0.000000
18	a	labial	dorsal	labial_dorsal	0.996333	0.003667
19	a	labial	coronal	labial_coronal	0.998972	0.001028
20	a	coronal	coronal	coronal_coronal	1.000000	0.000000
21	a	pause	coronal	pause_coronal	0.999986	0.000014
22	a	coronal	labial	coronal_labial	1.000000	0.000000
23	a	coronal	pause	coronal_pause	1.000000	0.000000
24	a	coronal	coronal	coronal_coronal	1.000000	0.000000
25	a	labial	m	labial_m	0.000364	0.999636
26	a	dorsal	coronal	dorsal_coronal	0.998731	0.001269
27	a	coronal	coronal	coronal_coronal	1.000000	0.000000
28	a	dorsal	coronal	dorsal_coronal	0.841152	0.158848
29	a	labial	labial	labial_labial	0.974183	0.025817
30	a	dorsal	pause	dorsal_pause	0.516823	0.483177
31	a	dorsal	dorsal	dorsal_dorsal	0.997141	0.002859
32	a	coronal	dorsal	coronal_dorsal	0.999456	0.000545
33	a	dorsal	coronal	dorsal_coronal	0.999778	0.000222
34	a	dorsal	dorsal	dorsal_dorsal	1.000000	0.000000
35	a	dorsal	dorsal	dorsal_dorsal	0.902090	0.097910
36	a	dorsal	pause	dorsal_pause	0.012161	0.987839
37	a	labial	pause	labial_pause	1.000000	0.000000
38	a	coronal	coronal	coronal_coronal	0.999974	0.000026
39	a	labial	coronal	labial_coronal	0.999899	0.000101
40	a	coronal	labial	coronal_labial	0.999323	0.000677
41	a	pause	m	pause_m	0.483423	0.516577
42	a	dorsal	pause	dorsal_pause	0.723534	0.276466
43	a	coronal	labial	coronal_labial	0.999895	0.000105
44	a	coronal	labial	coronal_labial	0.999779	0.000221
45	a	labial	n	labial_n	0.998535	0.001465
46	a	coronal	dorsal	coronal_dorsal	0.998234	0.001766
47	a	coronal	coronal	coronal_coronal	0.999629	0.000371
48	a	labial	coronal	labial_coronal	1.000000	0.000000
49	a	labial	coronal	labial_coronal	0.999981	0.000019
50	a	m	coronal	m_coronal	0.999239	0.000761
51	a	coronal	pause	coronal_pause	1.000000	0.000000
52	a	dorsal	dorsal	dorsal_dorsal	1.000000	0.000000
53	a	labial	dorsal	labial_dorsal	0.999999	0.000001
54	a	labial	coronal	labial_coronal	0.998524	0.001476
55	a	coronal	labial	coronal_labial	0.997071	0.002929
56	a	coronal	coronal	coronal_coronal	1.000000	0.000000
57	a	dorsal	coronal	dorsal_coronal	0.984389	0.015611
58	a	labial	dorsal	labial_dorsal	0.999958	0.000042
59	a	dorsal	labial	dorsal_labial	0.994413	0.005587
60	a	coronal	coronal	coronal_coronal	1.000000	0.000000
61	a	coronal	coronal	coronal_coronal	0.994028	0.005972
62	a	labial	dorsal	labial_dorsal	1.000000	0.000000
63	a	coronal	dorsal	coronal_dorsal	0.999980	0.000020
64	a	coronal	pause	coronal_pause	0.999976	0.000024
65	a	coronal	coronal	coronal_coronal	0.999934	0.000066
66	a	coronal	labial	coronal_labial	0.999997	0.000003
67	a	dorsal	dorsal	dorsal_dorsal	0.999184	0.000816
68	a	pause	n	pause_n	0.996824	0.003176
69	a	pause	coronal	pause_coronal	0.999866	0.000133
70	a	coronal	pause	coronal_pause	0.035968	0.964032
71	a	dorsal	coronal	dorsal_coronal	0.999977	0.000024
72	a	pause	coronal	pause_coronal	1.000000	0.000000
73	a	coronal	m	coronal_m	0.999993	0.000007
74	a	dorsal	labial	dorsal_labial	0.882775	0.117225
75	a	dorsal	coronal	dorsal_coronal	0.999999	0.000001
76	a	coronal	labial	coronal_labial	0.999963	0.000037
77	a	labial	coronal	labial_coronal	0.999999	0.000001
78	a	coronal	coronal	coronal_coronal	1.000000	0.000000
79	a	m	coronal	m_coronal	0.993247	0.006753
80	a	labial	coronal	labial_coronal	0.999691	0.000309
81	a	coronal	pause	coronal_pause	0.999968	0.000032
82	a	dorsal	coronal	dorsal_coronal	0.914242	0.085758
83	a	coronal	coronal	coronal_coronal	1.000000	0.000000
84	a	labial	m	labial_m	0.999963	0.000037
85	a	coronal	dorsal	coronal_dorsal	0.999730	0.000270
86	a	dorsal	pause	dorsal_pause	0.181745	0.818255
87	a	dorsal	pause	dorsal_pause	0.602346	0.397654
88	a	labial	coronal	labial_coronal	0.999997	0.000003
89	a	pause	coronal	pause_coronal	1.000000	0.000000
90	a	coronal	m	coronal_m	0.999673	0.000327
91	a	coronal	m	coronal_m	0.999639	0.000361
92	a	coronal	labial	coronal_labial	0.998378	0.001622
93	a	m	coronal	m_coronal	1.000000	0.000000
94	a	m	coronal	m_coronal	0.950907	0.049093
