	precision_0	recall_0	f1_score_0	support_0	precision_1	recall_1	f1_score_1	support_1	f1_score_accuracy	support_accuracy	precision_macro_avg	recall_macro_avg	f1_score_macro_avg	support_macro_avg	precision_weighted_avg	recall_weighted_avg	f1_score_weighted_avg	support_weighted_avg
03_12_07_nb1_1_16	0.96	0.87	0.91	55	0.88	0.96	0.92	55	0.92	110	0.92	0.92	0.92	110	0.92	0.92	0.92	110
03_12_07_nb1_2_16	0.87	0.95	0.90	55	0.94	0.85	0.90	55	0.90	110	0.90	0.90	0.90	110	0.90	0.90	0.90	110
04_12_07_nb1_1_16	0.90	0.98	0.94	55	0.98	0.89	0.93	55	0.94	110	0.94	0.94	0.94	110	0.94	0.94	0.94	110
04_12_07_nb1_2_16	0.98	0.95	0.96	55	0.95	0.98	0.96	55	0.96	110	0.96	0.96	0.96	110	0.96	0.96	0.96	110
04_12_07_nb2_1_16	0.96	0.89	0.92	55	0.90	0.96	0.93	55	0.93	110	0.93	0.93	0.93	110	0.93	0.93	0.93	110
04_12_07_nb2_2_16	0.94	0.85	0.90	55	0.87	0.95	0.90	55	0.90	110	0.90	0.90	0.90	110	0.90	0.90	0.90	110
04_12_07_nb3_1_16	0.92	0.89	0.91	55	0.89	0.93	0.91	55	0.91	110	0.91	0.91	0.91	110	0.91	0.91	0.91	110
04_12_07_nb3_2_16	0.89	0.93	0.91	55	0.92	0.89	0.91	55	0.91	110	0.91	0.91	0.91	110	0.91	0.91	0.91	110
05_12_07_nb1_1_16	0.96	0.84	0.89	55	0.85	0.96	0.91	55	0.90	110	0.91	0.90	0.90	110	0.91	0.90	0.90	110
05_12_07_nb1_2_16	0.98	0.93	0.95	55	0.93	0.98	0.96	55	0.95	110	0.96	0.95	0.95	110	0.96	0.95	0.95	110
14_11_07_nb1_1_16	0.80	1.00	0.89	55	1.00	0.75	0.85	55	0.87	110	0.90	0.87	0.87	110	0.90	0.87	0.87	110
14_11_07_nb1_2_16	0.91	0.89	0.90	55	0.89	0.91	0.90	55	0.90	110	0.90	0.90	0.90	110	0.90	0.90	0.90	110
14_11_07_nb2_1_16	0.96	0.87	0.91	55	0.88	0.96	0.92	55	0.92	110	0.92	0.92	0.92	110	0.92	0.92	0.92	110
14_11_07_nb2_2_16	0.88	0.93	0.90	55	0.92	0.87	0.90	55	0.90	110	0.90	0.90	0.90	110	0.90	0.90	0.90	110
16_11_07_nb1_1_16	0.91	0.95	0.93	55	0.94	0.91	0.93	55	0.93	110	0.93	0.93	0.93	110	0.93	0.93	0.93	110
16_11_07_nb1_2_16	0.98	0.89	0.93	55	0.90	0.98	0.94	55	0.94	110	0.94	0.94	0.94	110	0.94	0.94	0.94	110
16_11_07_nb2_1_16	1.00	0.96	0.98	55	0.96	1.00	0.98	55	0.98	110	0.98	0.98	0.98	110	0.98	0.98	0.98	110
16_11_07_nb2_2_16	0.89	0.98	0.93	55	0.98	0.87	0.92	55	0.93	110	0.93	0.93	0.93	110	0.93	0.93	0.93	110
20_11_07_nb1_1_16	0.90	0.98	0.94	55	0.98	0.89	0.93	55	0.94	110	0.94	0.94	0.94	110	0.94	0.94	0.94	110
