	nb_total_faux_a	f0_milieuV_mean_a	nb_faux_a_f0_milieuV_bas	nb_faux_a_f0_milieuV_eleve	tendance_a	nb_total_faux_A	f0_milieuV_mean_A	nb_faux_A_f0_milieuV_bas	nb_faux_A_f0_milieuV_eleve	tendance_A
26_11_07_nb1_1_16	2	110.82260865346558	2	0	bas	2	101.88808574157187	2	0	bas
26_11_07_nb2_1_16	4	242.2044679115642	3	1	bas	4	279.2214314772628	1	3	eleve
26_11_07_nb1_2_16	4	100.67918409390455	2	2	egal	3	92.30915047212807	0	3	eleve
26_11_07_nb2_2_16	1	206.5158757316867	1	0	bas	0	186.54477359831367	0	0	null
26_11_07_nb3_1_16	2	145.45183109692226	0	2	eleve	3	143.9903535198735	1	2	eleve
26_11_07_nb3_2_16	1	117.80659024441157	1	0	bas	4	117.17891301503612	2	2	egal
27_11_07_nb1_1_16	2	195.5528059499213	0	2	eleve	1	201.27993478114155	0	1	eleve
27_11_07_nb1_2_16	1	213.34086388977164	0	1	eleve	0	199.1908288291291	0	0	null
27_11_07_nb2_1_16	1	218.12779946654172	0	1	eleve	4	191.3630074591565	1	3	eleve
27_11_07_nb2_2_16	4	216.7049638139075	1	3	eleve	1	215.68312232432368	1	0	bas
28_11_07_nb1_1_16	0	196.31016864438553	0	0	null	8	182.94668695138998	4	4	egal
28_11_07_nb1_2_16	1	177.43997349109787	0	1	eleve	5	194.65026862510683	0	5	eleve
28_11_07_nb2_1_16	7	110.60732775907948	4	3	bas	2	110.00962996109968	2	0	bas
28_11_07_nb2_2_16	0	105.96860685662999	0	0	null	7	99.27260122457169	2	5	eleve
29_11_07_nb1_2_16	2	172.75689324158725	1	1	egal	16	213.80462253136793	4	12	eleve
29_11_07_nb2_1_16	4	128.05221646792077	3	1	bas	4	120.22218486518734	1	3	eleve
29_11_07_nb2_2_16	7	120.61347972902708	4	3	bas	2	114.56604818672743	0	2	eleve
30_11_07_nb1_1_16	9	148.7889566034973	5	4	bas	6	168.0510445313921	1	5	eleve
30_11_07_nb1_2_16	4	134.8827689353293	1	3	eleve	1	129.13244460701003	0	1	eleve
05_12_07_nb1_1_16	9	115.14375006959607	4	5	eleve	2	123.4787759657058	2	0	bas
05_12_07_nb1_2_16	4	115.34955304508101	2	2	egal	1	128.13832398807835	0	1	eleve
14_11_07_nb1_1_16	0	99.05386515229226	0	0	null	14	97.89511969073064	5	9	eleve
14_11_07_nb1_2_16	6	89.9131270867509	0	6	eleve	5	81.20613605107414	0	5	eleve
14_11_07_nb2_1_16	7	132.94700398711632	3	4	eleve	2	112.79983091459084	1	1	egal
14_11_07_nb2_2_16	4	110.16983697947349	2	2	egal	7	105.0822204024962	3	4	eleve
16_11_07_nb1_1_16	3	224.38884636373595	2	1	bas	5	227.25225998811587	2	3	eleve
16_11_07_nb1_2_16	6	204.40741979598016	2	4	eleve	1	184.15447164621347	0	1	eleve
16_11_07_nb2_1_16	2	193.13368306191072	2	0	bas	0	170.55826027477093	0	0	null
16_11_07_nb2_2_16	1	227.10172221958896	1	0	bas	7	244.57032274344576	3	4	eleve
20_11_07_nb1_1_16	1	212.26532514816265	1	0	bas	6	212.98406418625885	0	6	eleve
20_11_07_nb1_2_16	5	186.0101128995819	0	5	eleve	3	209.30782056083726	0	3	eleve
22_11_07_nb1_1_16	2	211.8004575412097	2	0	bas	6	208.44231808705794	3	3	egal
22_11_07_nb1_2_16	1	184.80631812998172	1	0	bas	5	216.35128708289866	1	4	eleve
22_11_07_nb2_1_16	1	183.76080664660907	0	1	eleve	2	184.16653342121762	0	2	eleve
22_11_07_nb2_2_16	3	250.0625153152078	1	2	eleve	4	229.19680620226288	3	1	bas
23_11_07_nb1_1_16	5	227.0544585601007	4	1	bas	4	237.99393149297455	1	3	eleve
23_11_07_nb1_2_16	5	209.1549677326413	3	2	bas	3	213.45801971234604	2	1	bas
03_12_07_nb1_1_16	7	124.29945227471137	5	2	bas	2	118.33678773200083	1	1	egal
03_12_07_nb1_2_16	3	125.81934997113287	2	1	bas	8	115.65311976974971	4	4	egal
04_12_07_nb1_1_16	1	132.39868296495632	0	1	eleve	6	122.25195052910452	5	1	bas
04_12_07_nb1_2_16	3	148.03432708324843	1	2	eleve	1	148.8930941945686	1	0	bas
04_12_07_nb2_1_16	6	104.83810554334539	2	4	eleve	2	91.79016368454363	1	1	egal
04_12_07_nb2_2_16	8	125.87284505360378	3	5	eleve	3	114.70950969555021	3	0	bas
04_12_07_nb3_1_16	6	100.94230399408208	3	3	egal	4	99.70872566974177	3	1	bas
04_12_07_nb3_2_16	4	108.22993608094093	2	2	egal	6	101.18027832862317	4	2	bas
