	nb_total_faux_a	f0_mean_mean_a	nb_faux_a_f0_mean_bas	nb_faux_a_f0_mean_eleve	tendance_a	nb_total_faux_A	f0_mean_mean_A	nb_faux_A_f0_mean_bas	nb_faux_A_f0_mean_eleve	tendance_A
26_11_07_nb1_1_16	2	134.53385666868743	2	0	bas	2	117.27215459996718	2	0	bas
26_11_07_nb2_1_16	4	258.023050280543	3	1	bas	4	288.6234310449466	1	3	eleve
26_11_07_nb1_2_16	4	106.23041682464743	2	2	egal	3	95.70753667657874	0	3	eleve
26_11_07_nb2_2_16	1	211.94504040647433	1	0	bas	0	194.7914419712678	0	0	null
26_11_07_nb3_1_16	2	147.95517662960137	0	2	eleve	3	143.19589489898905	1	2	eleve
26_11_07_nb3_2_16	1	140.97284131728748	1	0	bas	4	120.66305515940014	2	2	egal
27_11_07_nb1_1_16	2	201.9459846604778	0	2	eleve	1	206.88779921125033	0	1	eleve
27_11_07_nb1_2_16	1	223.33556710090977	0	1	eleve	0	206.29160682556656	0	0	null
27_11_07_nb2_1_16	1	225.9284276268402	0	1	eleve	4	204.8576005806205	2	2	egal
27_11_07_nb2_2_16	4	229.25181212022233	2	2	egal	1	218.61950681282988	1	0	bas
28_11_07_nb1_1_16	0	206.13645721414798	0	0	null	8	182.7969265713095	4	4	egal
28_11_07_nb1_2_16	1	186.13120592462337	0	1	eleve	5	210.6417951361996	1	4	eleve
28_11_07_nb2_1_16	7	122.21001916685125	5	2	bas	2	111.69955166191205	2	0	bas
28_11_07_nb2_2_16	0	115.74672947471454	0	0	null	7	111.89010520322498	2	5	eleve
29_11_07_nb1_2_16	2	188.89036817728103	1	1	egal	16	217.81027887861825	4	12	eleve
29_11_07_nb2_1_16	4	133.1715913347923	3	1	bas	4	124.44641022328383	0	4	eleve
29_11_07_nb2_2_16	7	124.83559233060743	4	3	bas	2	116.42869406241492	0	2	eleve
30_11_07_nb1_1_16	9	152.39928720733045	5	4	bas	6	166.5317236459392	1	5	eleve
30_11_07_nb1_2_16	4	143.7136903449066	1	3	eleve	1	131.09421101731496	0	1	eleve
05_12_07_nb1_1_16	9	126.07936214492508	6	3	bas	2	123.8487217923604	2	0	bas
05_12_07_nb1_2_16	4	128.76002897110936	2	2	egal	1	131.09748955181064	0	1	eleve
14_11_07_nb1_1_16	0	112.51173037052628	0	0	null	14	105.08050881815244	6	8	eleve
14_11_07_nb1_2_16	6	114.29455282488563	3	3	egal	5	88.80167452332583	1	4	eleve
14_11_07_nb2_1_16	7	135.6680428179531	3	4	eleve	2	123.88146455024437	2	0	bas
14_11_07_nb2_2_16	4	119.25420635131304	2	2	egal	7	119.24185243313536	4	3	bas
16_11_07_nb1_1_16	3	242.08785320058058	2	1	bas	5	235.9086667392639	2	3	eleve
16_11_07_nb1_2_16	6	209.71527489741953	2	4	eleve	1	188.27738680390632	0	1	eleve
16_11_07_nb2_1_16	2	197.09672123390988	2	0	bas	0	175.34495397718638	0	0	null
16_11_07_nb2_2_16	1	239.60843197245697	1	0	bas	7	246.31603281614505	3	4	eleve
20_11_07_nb1_1_16	1	220.24696857229188	1	0	bas	6	217.52436688142365	1	5	eleve
20_11_07_nb1_2_16	5	206.87415427309594	3	2	bas	3	212.54521260309699	0	3	eleve
22_11_07_nb1_1_16	2	220.02556686357525	2	0	bas	6	208.43139749137805	4	2	bas
22_11_07_nb1_2_16	1	203.9344662117982	0	1	eleve	5	216.43847605600314	1	4	eleve
22_11_07_nb2_1_16	1	204.00720206265947	1	0	bas	2	191.1744733608145	0	2	eleve
22_11_07_nb2_2_16	3	258.06767475464045	1	2	eleve	4	230.54256578083283	3	1	bas
23_11_07_nb1_1_16	5	228.3245810948586	4	1	bas	4	247.5914627784294	1	3	eleve
23_11_07_nb1_2_16	5	217.16609486691397	3	2	bas	3	215.39953703504375	2	1	bas
03_12_07_nb1_1_16	7	130.4027766275145	6	1	bas	2	121.78857543425167	1	1	egal
03_12_07_nb1_2_16	3	126.72442595681989	2	1	bas	8	115.92007081117025	4	4	egal
04_12_07_nb1_1_16	1	143.07609472310435	0	1	eleve	6	126.73965681944095	5	1	bas
04_12_07_nb1_2_16	3	153.04072371445835	1	2	eleve	1	147.87927058138467	1	0	bas
04_12_07_nb2_1_16	6	113.6790737654003	3	3	egal	2	98.4850708549988	2	0	bas
04_12_07_nb2_2_16	8	129.52723342190825	4	4	egal	3	116.90641758652684	3	0	bas
04_12_07_nb3_1_16	6	102.52429364429067	3	3	egal	4	101.65891241468256	3	1	bas
04_12_07_nb3_2_16	4	112.23707996031092	2	2	egal	6	106.64199262720832	5	1	bas
