	nb_total_faux_a	intensite_mean_mean_a	nb_faux_a_intensite_mean_bas	nb_faux_a_intensite_mean_eleve	tendance_a	nb_total_faux_A	intensite_mean_mean_A	nb_faux_A_intensite_mean_bas	nb_faux_A_intensite_mean_eleve	tendance_A
26_11_07_nb1_1_16	2	59.99051093601156	0	2	eleve	2	51.95064782735281	2	0	bas
26_11_07_nb2_1_16	4	63.43231059534692	2	2	egal	4	60.67149192144463	1	3	eleve
26_11_07_nb1_2_16	4	62.89700371191343	1	3	eleve	3	55.786707513960344	1	2	eleve
26_11_07_nb2_2_16	1	69.12374850571746	1	0	bas	0	67.22655332098984	0	0	null
26_11_07_nb3_1_16	2	66.84029109048267	2	0	bas	3	63.10428280912183	0	3	eleve
26_11_07_nb3_2_16	1	58.898683108960135	1	0	bas	4	53.66461077139965	0	4	eleve
27_11_07_nb1_1_16	2	63.0684678324452	1	1	egal	1	58.27265548096957	0	1	eleve
27_11_07_nb1_2_16	1	62.32708537763596	0	1	eleve	0	55.684348588951465	0	0	null
27_11_07_nb2_1_16	1	59.31992955647041	1	0	bas	4	50.541316356877445	2	2	egal
27_11_07_nb2_2_16	4	57.8091223053351	2	2	egal	1	56.34238677147484	0	1	eleve
28_11_07_nb1_1_16	0	68.29737672211066	0	0	null	8	63.411783997816904	3	5	eleve
28_11_07_nb1_2_16	1	65.69462378621697	1	0	bas	5	63.25955721639017	1	4	eleve
28_11_07_nb2_1_16	7	60.01066535942264	3	4	eleve	2	59.47611237785085	1	1	egal
28_11_07_nb2_2_16	0	57.68180385097001	0	0	null	7	52.11432807155803	2	5	eleve
29_11_07_nb1_2_16	2	66.18226699230968	2	0	bas	16	65.46618002738252	5	11	eleve
29_11_07_nb2_1_16	4	64.71612233204105	3	1	bas	4	62.53995301021056	2	2	egal
29_11_07_nb2_2_16	7	65.77214990827669	7	0	bas	2	61.72091209318246	1	1	egal
30_11_07_nb1_1_16	9	69.66722480530058	7	2	bas	6	68.24693531676495	2	4	eleve
30_11_07_nb1_2_16	4	69.96891111192157	3	1	bas	1	61.884579285496145	0	1	eleve
05_12_07_nb1_1_16	9	70.33434493219427	4	5	eleve	2	69.47461544851484	0	2	eleve
05_12_07_nb1_2_16	4	66.92453180885964	2	2	egal	1	61.741645024174865	0	1	eleve
14_11_07_nb1_1_16	0	61.79296233378445	0	0	null	14	58.48712082364586	7	7	egal
14_11_07_nb1_2_16	6	51.86720917022891	6	0	bas	5	51.551775768166976	2	3	eleve
14_11_07_nb2_1_16	7	60.961964043448724	4	3	bas	2	57.40742837344288	1	1	egal
14_11_07_nb2_2_16	4	56.07066856909462	3	1	bas	7	48.18913035667689	4	3	bas
16_11_07_nb1_1_16	3	68.78564253348772	2	1	bas	5	60.297727747086576	1	4	eleve
16_11_07_nb1_2_16	6	62.95580838259383	3	3	egal	1	55.18611590493818	0	1	eleve
16_11_07_nb2_1_16	2	54.29329582669689	2	0	bas	0	48.50848446651122	0	0	null
16_11_07_nb2_2_16	1	48.626018309487804	1	0	bas	7	44.064092401251926	3	4	eleve
20_11_07_nb1_1_16	1	64.83192762679532	1	0	bas	6	61.73396311845804	0	6	eleve
20_11_07_nb1_2_16	5	61.145095186303934	4	1	bas	3	56.179569774612844	0	3	eleve
22_11_07_nb1_1_16	2	64.296736179447	2	0	bas	6	61.82599159681777	2	4	eleve
22_11_07_nb1_2_16	1	61.094851058078255	1	0	bas	5	59.13808194097721	3	2	bas
22_11_07_nb2_1_16	1	62.3123183699266	1	0	bas	2	57.27437114125486	0	2	eleve
22_11_07_nb2_2_16	3	70.74561223535561	1	2	eleve	4	59.01204134457083	0	4	eleve
23_11_07_nb1_1_16	5	58.99719743796116	4	1	bas	4	58.27726884750801	3	1	bas
23_11_07_nb1_2_16	5	59.74831520908066	3	2	bas	3	58.28276865201254	1	2	eleve
03_12_07_nb1_1_16	7	59.751828670345056	6	1	bas	2	57.610663063268824	2	0	bas
03_12_07_nb1_2_16	3	68.05696657284976	2	1	bas	8	61.98722268200927	2	6	eleve
04_12_07_nb1_1_16	1	68.92393528356588	1	0	bas	6	64.78001836013827	4	2	bas
04_12_07_nb1_2_16	3	73.12472869621362	0	3	eleve	1	65.38232432483339	1	0	bas
04_12_07_nb2_1_16	6	69.68976377736031	5	1	bas	2	62.50307512143319	2	0	bas
04_12_07_nb2_2_16	8	68.21153330603568	5	3	bas	3	60.9400901949355	1	2	eleve
04_12_07_nb3_1_16	6	60.968601444156874	6	0	bas	4	59.00064554716774	3	1	bas
04_12_07_nb3_2_16	4	60.40115315920787	3	1	bas	6	62.124434160224794	2	4	eleve
