son	debut	fin
I	470.341	470.401
I	518.822	518.872
I	489.468	489.538
I	609.526	609.636
I	584.78	584.83
I	698.065	698.105
I	871.6519999999999	871.722
I	529.9730000000001	530.013
I	645.721	645.7909999999999
A	189.799	189.889
A	199.951	200.041
A	187.449	187.52900000000002
A	181.842	181.90200000000002
A	180.46200000000002	180.542
A	238.90400000000002	238.99400000000003
A	238.63400000000001	238.71400000000003
A	223.602	223.632
A	240.84400000000002	240.954
A	246.12	246.16
A	220.202	220.312
A	233.183	233.253
