son	debut	fin
a	279.478	279.58799999999997
a	297.665	297.755
a	279.058	279.128
a	273.94599999999997	274.046
a	264.414	264.524
a	278.928	279.018
a	331.861	331.961
a	317.214	317.30400000000003
a	315.935	316.025
a	330.741	330.841
a	322.409	322.559
a	327.409	327.47900000000004
a	323.279	323.369
E	494.865	494.935
E	532.77	532.91
E	505.925	506.035
E	546.487	546.557
E	572.4019999999999	572.482
E	547.597	547.697
E	573.972	574.0419999999999
E	544.2669999999999	544.377
E	553.4159999999999	553.486
E	582.08	582.16
E	541.539	541.609
E	580.98	581.11
E	519.289	519.379
