	son	tier	contexte_gauche	contexte_droit	contextes	temps_debut	temps_fin	proba_oral	proba_nasal
1	A	1	coronal	coronal	coronal_coronal	3434.618	3434.6646666666666	0.459898	0.540102
2	A	3	m	labial	m_labial	3432.037666666667	3432.0610000000006	0.008881	0.991119
3	A	3	pause	labial	pause_labial	3433.798	3433.8179999999998	0.158608	0.841392
4	A	2	pause	labial	pause_labial	3433.778	3433.798	0.158608	0.841392
5	A	1	pause	labial	pause_labial	3433.758	3433.778	0.158608	0.841392
6	A	2	m	labial	m_labial	3432.0143333333335	3432.037666666667	0.102970	0.897030
7	A	1	m	labial	m_labial	3431.991	3432.0143333333335	0.129565	0.870435
8	A	2	pause	labial	pause_labial	3442.4553333333333	3442.4886666666666	0.930517	0.069483
9	A	2	pause	labial	pause_labial	3438.0536666666667	3438.0703333333336	0.158608	0.841392
10	A	2	coronal	coronal	coronal_coronal	3502.672	3502.712	0.000006	0.999994
11	A	1	coronal	coronal	coronal_coronal	3502.632	3502.672	0.000318	0.999682
12	A	3	coronal	dorsal	coronal_dorsal	3556.2949999999996	3556.3049999999994	0.004848	0.995152
13	A	1	coronal	pause	coronal_pause	3467.751	3467.7676666666666	0.158608	0.841392
14	A	2	coronal	pause	coronal_pause	3467.7676666666666	3467.784333333333	0.158608	0.841392
15	A	3	dorsal	m	dorsal_m	3472.931	3472.951	0.158608	0.841392
16	A	3	coronal	coronal	coronal_coronal	3502.712	3502.752	0.001402	0.998599
17	A	1	pause	labial	pause_labial	3438.037	3438.0536666666667	0.158608	0.841392
18	A	1	coronal	coronal	coronal_coronal	3556.715	3556.741666666667	0.982464	0.017536
19	A	3	pause	labial	pause_labial	3442.4886666666666	3442.522	0.557551	0.442449
20	A	1	coronal	coronal	coronal_coronal	3440.487	3440.543666666667	0.007304	0.992696
21	A	3	coronal	coronal	coronal_coronal	3440.6003333333338	3440.6570000000006	0.020856	0.979144
22	A	2	coronal	dorsal	coronal_dorsal	3556.285	3556.2949999999996	0.002014	0.997986
23	A	2	coronal	coronal	coronal_coronal	3440.543666666667	3440.6003333333338	0.012459	0.987541
24	A	1	pause	labial	pause_labial	3442.422	3442.4553333333333	0.860093	0.139907
25	A	1	m	pause	m_pause	3549.292	3549.308666666667	0.158608	0.841392
26	A	2	m	pause	m_pause	3549.308666666667	3549.3253333333337	0.158608	0.841392
27	A	3	coronal	coronal	coronal_coronal	3434.711333333333	3434.758	0.000184	0.999816
28	A	1	dorsal	m	dorsal_m	3472.891	3472.911	0.158608	0.841392
29	A	3	coronal	pause	coronal_pause	3467.784333333333	3467.8009999999995	0.158608	0.841392
30	A	3	m	pause	m_pause	3549.3253333333337	3549.3420000000006	0.158608	0.841392
31	A	3	pause	labial	pause_labial	3438.0703333333336	3438.0870000000004	0.158608	0.841392
32	A	2	dorsal	m	dorsal_m	3472.911	3472.931	0.158608	0.841392
33	A	1	coronal	dorsal	coronal_dorsal	3556.275	3556.285	0.007842	0.992158
34	A	2	coronal	coronal	coronal_coronal	3434.6646666666666	3434.711333333333	0.000637	0.999363
35	A	1	labial	coronal	labial_coronal	3708.029	3708.0523333333335	0.074104	0.925896
36	A	2	coronal	pause	coronal_pause	3695.8533333333335	3695.9066666666668	0.000114	0.999886
37	A	3	m	pause	m_pause	3574.362333333333	3574.4089999999997	0.259008	0.740992
38	A	1	coronal	pause	coronal_pause	3695.8	3695.8533333333335	0.000295	0.999705
39	A	1	coronal	coronal	coronal_coronal	3591.746	3591.7726666666667	0.666338	0.333662
40	A	1	labial	coronal	labial_coronal	3729.161	3729.1843333333336	0.064539	0.935461
41	A	3	labial	coronal	labial_coronal	3708.075666666667	3708.0990000000006	0.628251	0.371749
42	A	1	pause	labial	pause_labial	3616.524	3616.534	0.002766	0.997234
43	A	3	dorsal	m	dorsal_m	3709.322333333333	3709.3489999999997	0.279458	0.720542
44	A	2	coronal	dorsal	coronal_dorsal	3628.6313333333333	3628.6546666666663	0.858425	0.141575
45	A	1	coronal	coronal	coronal_coronal	3593.516	3593.539333333333	0.015595	0.984405
46	A	3	coronal	pause	coronal_pause	3695.9066666666668	3695.96	0.000009	0.999991
47	A	2	coronal	coronal	coronal_coronal	3593.539333333333	3593.5626666666662	0.002505	0.997495
48	A	3	coronal	coronal	coronal_coronal	3593.5626666666662	3593.5859999999993	0.003859	0.996141
49	A	1	coronal	dorsal	coronal_dorsal	3628.608	3628.6313333333333	0.218614	0.781386
50	A	3	coronal	dorsal	coronal_dorsal	3628.6546666666663	3628.6779999999994	0.939377	0.060623
51	A	2	pause	labial	pause_labial	3616.534	3616.5440000000003	0.047703	0.952297
52	A	3	coronal	coronal	coronal_coronal	3591.7993333333334	3591.826	0.631558	0.368442
53	A	1	m	pause	m_pause	3574.269	3574.3156666666664	0.459902	0.540098
54	A	2	coronal	coronal	coronal_coronal	3556.741666666667	3556.7683333333334	0.817280	0.182720
55	A	2	m	pause	m_pause	3574.3156666666664	3574.362333333333	0.021461	0.978539
56	A	2	coronal	coronal	coronal_coronal	3591.7726666666667	3591.7993333333334	0.087164	0.912836
57	A	2	dorsal	m	dorsal_m	3709.2956666666664	3709.322333333333	0.580821	0.419179
58	A	3	pause	labial	pause_labial	3616.5440000000003	3616.5540000000005	0.020850	0.979150
59	A	1	dorsal	m	dorsal_m	3709.269	3709.2956666666664	0.430620	0.569380
60	A	3	coronal	coronal	coronal_coronal	3556.7683333333334	3556.795	0.656944	0.343056
61	A	2	labial	coronal	labial_coronal	3708.0523333333335	3708.075666666667	0.006590	0.993410
62	A	1	m	coronal	m_coronal	3738.044	3738.0706666666665	0.146800	0.853200
63	A	2	coronal	m	coronal_m	3733.2566666666667	3733.2733333333335	0.158608	0.841392
64	A	2	labial	coronal	labial_coronal	3729.1843333333336	3729.207666666667	0.108539	0.891461
65	A	1	dorsal	n	dorsal_n	3801.969	3801.9823333333334	0.158608	0.841392
66	A	1	coronal	m	coronal_m	3733.24	3733.2566666666667	0.158608	0.841392
67	A	3	dorsal	m	dorsal_m	3800.9289999999996	3800.9389999999994	0.001971	0.998029
68	A	2	coronal	pause	coronal_pause	3738.5306666666665	3738.567333333333	0.158608	0.841392
69	A	3	m	pause	m_pause	3730.621	3730.681	0.001136	0.998864
70	A	3	coronal	coronal	coronal_coronal	3739.364	3739.384	0.158608	0.841392
71	A	1	coronal	coronal	coronal_coronal	3731.86	3731.89	0.036415	0.963585
72	A	2	dorsal	m	dorsal_m	3800.919	3800.9289999999996	0.001942	0.998058
73	A	3	coronal	pause	coronal_pause	3738.567333333333	3738.6039999999994	0.158608	0.841392
74	A	1	dorsal	m	dorsal_m	3800.909	3800.919	0.035812	0.964188
75	A	1	dorsal	coronal	dorsal_coronal	3740.568	3740.5846666666666	0.158608	0.841392
76	A	2	coronal	coronal	coronal_coronal	3739.344	3739.364	0.158608	0.841392
77	A	1	coronal	pause	coronal_pause	3738.494	3738.5306666666665	0.158608	0.841392
78	A	3	coronal	m	coronal_m	3733.2733333333335	3733.2900000000004	0.158608	0.841392
79	A	2	coronal	coronal	coronal_coronal	3731.89	3731.9199999999996	0.535551	0.464449
80	A	3	coronal	coronal	coronal_coronal	3731.9199999999996	3731.9499999999994	0.925304	0.074696
81	A	2	dorsal	coronal	dorsal_coronal	3740.5846666666666	3740.601333333333	0.158608	0.841392
82	A	1	coronal	coronal	coronal_coronal	3739.324	3739.344	0.158608	0.841392
83	A	3	m	coronal	m_coronal	3738.097333333333	3738.124	0.127373	0.872627
84	A	3	labial	coronal	labial_coronal	3729.207666666667	3729.2310000000007	0.142884	0.857116
85	A	3	dorsal	coronal	dorsal_coronal	3740.601333333333	3740.6179999999995	0.158608	0.841392
86	A	2	m	pause	m_pause	3730.561	3730.621	0.013412	0.986588
87	A	2	m	coronal	m_coronal	3738.0706666666665	3738.097333333333	0.006284	0.993716
88	A	1	m	pause	m_pause	3730.501	3730.561	0.026779	0.973221
89	A	3	coronal	labial	coronal_labial	3872.1119999999996	3872.1219999999994	0.019279	0.980721
90	A	2	pause	m	pause_m	3891.8526666666667	3891.8793333333333	0.445755	0.554245
91	A	1	dorsal	dorsal	dorsal_dorsal	3836.67	3836.7000000000003	0.986496	0.013504
92	A	1	coronal	pause	coronal_pause	3886.109	3886.129	0.158608	0.841392
93	A	2	coronal	pause	coronal_pause	3886.129	3886.149	0.158608	0.841392
94	A	1	pause	labial	pause_labial	3885.389	3885.4023333333334	0.158608	0.841392
95	A	3	pause	labial	pause_labial	3885.4156666666668	3885.429	0.158608	0.841392
96	A	2	pause	labial	pause_labial	3866.3983333333335	3866.411666666667	0.158608	0.841392
97	A	3	pause	labial	pause_labial	3866.411666666667	3866.425	0.158608	0.841392
98	A	2	pause	labial	pause_labial	3858.5983333333334	3858.621666666667	0.043455	0.956545
99	A	3	coronal	coronal	coronal_coronal	3863.068333333333	3863.095	0.092167	0.907833
100	A	3	dorsal	dorsal	dorsal_dorsal	3836.7300000000005	3836.7600000000007	0.200093	0.799907
101	A	3	dorsal	n	dorsal_n	3801.9956666666667	3802.009	0.158608	0.841392
102	A	1	pause	labial	pause_labial	3866.385	3866.3983333333335	0.158608	0.841392
103	A	1	pause	m	pause_m	3891.826	3891.8526666666667	0.993833	0.006167
104	A	2	coronal	dorsal	coronal_dorsal	3892.1993333333335	3892.222666666667	0.982398	0.017602
105	A	3	coronal	pause	coronal_pause	3886.149	3886.169	0.158608	0.841392
106	A	1	pause	labial	pause_labial	3858.575	3858.5983333333334	0.158245	0.841755
107	A	1	coronal	dorsal	coronal_dorsal	3892.176	3892.1993333333335	0.998299	0.001701
108	A	2	coronal	labial	coronal_labial	3872.102	3872.1119999999996	0.016745	0.983255
109	A	2	coronal	coronal	coronal_coronal	3863.0416666666665	3863.068333333333	0.068599	0.931401
110	A	1	coronal	labial	coronal_labial	3872.092	3872.102	0.001295	0.998705
111	A	3	pause	m	pause_m	3891.8793333333333	3891.906	0.525438	0.474562
112	A	3	pause	labial	pause_labial	3858.621666666667	3858.6450000000004	0.014944	0.985056
113	A	2	dorsal	dorsal	dorsal_dorsal	3836.7000000000003	3836.7300000000005	0.004447	0.995553
114	A	2	pause	labial	pause_labial	3885.4023333333334	3885.4156666666668	0.158608	0.841392
115	A	2	dorsal	n	dorsal_n	3801.9823333333334	3801.9956666666667	0.158608	0.841392
116	A	1	coronal	coronal	coronal_coronal	3863.015	3863.0416666666665	0.567961	0.432039
117	A	2	coronal	pause	coronal_pause	4027.6846666666665	4027.721333333333	0.158608	0.841392
118	A	2	pause	n	pause_n	4052.299	4052.3089999999997	0.011254	0.988746
119	A	1	pause	n	pause_n	4053.769	4053.7856666666667	0.158608	0.841392
120	A	2	dorsal	n	dorsal_n	4029.8823333333335	4029.895666666667	0.158608	0.841392
121	A	1	coronal	dorsal	coronal_dorsal	4029.739	4029.749	0.003474	0.996526
122	A	3	coronal	coronal	coronal_coronal	4055.5296666666663	4055.5829999999996	0.172938	0.827062
123	A	3	dorsal	labial	dorsal_labial	3921.699	3921.719	0.158608	0.841392
124	A	1	pause	labial	pause_labial	4042.332	4042.345333333333	0.158608	0.841392
125	A	2	pause	labial	pause_labial	4042.345333333333	4042.3586666666665	0.158608	0.841392
126	A	3	coronal	dorsal	coronal_dorsal	3892.222666666667	3892.2460000000005	0.740851	0.259149
127	A	2	dorsal	labial	dorsal_labial	3921.679	3921.699	0.158608	0.841392
128	A	3	pause	labial	pause_labial	4042.3586666666665	4042.372	0.158608	0.841392
129	A	3	pause	m	pause_m	3988.769333333333	3988.816	0.009259	0.990741
130	A	3	pause	n	pause_n	4053.8023333333335	4053.8190000000004	0.158608	0.841392
131	A	3	coronal	pause	coronal_pause	4027.721333333333	4027.7579999999994	0.158608	0.841392
132	A	2	coronal	dorsal	coronal_dorsal	4029.749	4029.7589999999996	0.002764	0.997236
133	A	3	pause	n	pause_n	4052.3089999999997	4052.3189999999995	0.028480	0.971520
134	A	2	pause	n	pause_n	4053.7856666666667	4053.8023333333335	0.158608	0.841392
135	A	2	coronal	coronal	coronal_coronal	4055.476333333333	4055.5296666666663	0.981002	0.018999
136	A	1	pause	m	pause_m	3988.676	3988.7226666666666	0.233833	0.766167
137	A	1	coronal	pause	coronal_pause	4027.648	4027.6846666666665	0.158608	0.841392
138	A	1	coronal	coronal	coronal_coronal	4055.423	4055.476333333333	0.972233	0.027767
139	A	3	coronal	dorsal	coronal_dorsal	4029.7589999999996	4029.7689999999993	0.001173	0.998827
140	A	1	dorsal	n	dorsal_n	4029.869	4029.8823333333335	0.158608	0.841392
141	A	3	dorsal	n	dorsal_n	4029.895666666667	4029.909	0.158608	0.841392
142	A	1	dorsal	labial	dorsal_labial	3921.659	3921.679	0.158608	0.841392
143	A	2	pause	m	pause_m	3988.7226666666666	3988.769333333333	0.024427	0.975573
144	A	1	pause	n	pause_n	4052.289	4052.299	0.014329	0.985671
145	A	1	pause	labial	pause_labial	4083.641	4083.651	0.006629	0.993371
146	A	2	coronal	coronal	coronal_coronal	4087.3243333333335	4087.347666666667	0.035964	0.964036
147	A	1	coronal	coronal	coronal_coronal	4087.301	4087.3243333333335	0.012445	0.987555
148	A	2	pause	m	pause_m	4074.65	4074.69	0.967374	0.032626
149	A	2	dorsal	n	dorsal_n	4078.226666666667	4078.243333333334	0.158608	0.841392
150	A	3	pause	m	pause_m	4074.69	4074.73	0.908047	0.091953
151	A	1	pause	m	pause_m	4074.61	4074.65	0.994890	0.005110
152	A	1	pause	m	pause_m	4075.39	4075.423333333333	0.998086	0.001914
153	A	1	dorsal	n	dorsal_n	4078.21	4078.226666666667	0.158608	0.841392
154	A	3	coronal	coronal	coronal_coronal	4087.347666666667	4087.3710000000005	0.016954	0.983046
155	A	3	coronal	pause	coronal_pause	4075.816666666667	4075.8400000000006	0.141337	0.858663
156	A	2	pause	m	pause_m	4075.423333333333	4075.4566666666665	0.888239	0.111761
157	A	2	coronal	pause	coronal_pause	4075.7933333333335	4075.816666666667	0.051560	0.948440
158	A	3	coronal	pause	coronal_pause	4075.1866666666665	4075.2599999999998	0.994828	0.005172
159	A	2	coronal	pause	coronal_pause	4075.1133333333332	4075.1866666666665	0.522103	0.477897
160	A	1	coronal	pause	coronal_pause	4075.77	4075.7933333333335	0.960873	0.039127
161	A	3	pause	m	pause_m	4075.4566666666665	4075.49	0.052505	0.947495
162	A	3	pause	labial	pause_labial	4083.6609999999996	4083.6709999999994	0.002311	0.997689
163	A	1	coronal	pause	coronal_pause	4075.04	4075.1133333333332	0.160126	0.839874
164	A	2	pause	labial	pause_labial	4083.651	4083.6609999999996	0.004808	0.995193
165	A	3	dorsal	n	dorsal_n	4078.243333333334	4078.2600000000007	0.158608	0.841392
166	a	3	labial	dorsal	labial_dorsal	2371.615666666667	2371.6390000000006	0.451469	0.548531
167	a	2	labial	pause	labial_pause	2363.9700000000003	2364.0200000000004	0.963577	0.036423
168	a	3	coronal	coronal	coronal_coronal	2316.888333333334	2316.9450000000006	0.966966	0.033034
169	a	3	labial	pause	labial_pause	2364.0200000000004	2364.0700000000006	0.972856	0.027144
170	a	1	n	coronal	n_coronal	2385.05	2385.0733333333333	0.998452	0.001548
171	a	1	labial	pause	labial_pause	2363.92	2363.9700000000003	0.858997	0.141003
172	a	2	coronal	coronal	coronal_coronal	2316.831666666667	2316.888333333334	0.996682	0.003318
173	a	1	coronal	coronal	coronal_coronal	2316.775	2316.831666666667	0.736881	0.263119
174	a	2	labial	dorsal	labial_dorsal	2371.5923333333335	2371.615666666667	0.805752	0.194248
175	a	1	labial	dorsal	labial_dorsal	2371.569	2371.5923333333335	0.947864	0.052136
176	a	3	dorsal	dorsal	dorsal_dorsal	2441.7976666666664	2441.8209999999995	0.613677	0.386323
177	a	2	dorsal	dorsal	dorsal_dorsal	2441.7743333333333	2441.7976666666664	0.981166	0.018834
178	a	1	dorsal	dorsal	dorsal_dorsal	2441.751	2441.7743333333333	0.999406	0.000594
179	a	2	coronal	m	coronal_m	2426.3856666666666	2426.412333333333	0.999994	0.000006
180	a	3	n	dorsal	n_dorsal	2442.0576666666666	2442.091	0.996296	0.003704
181	a	1	n	dorsal	n_dorsal	2441.991	2442.0243333333333	0.999851	0.000149
182	a	1	labial	labial	labial_labial	2388.566	2388.5926666666664	0.999418	0.000582
183	a	1	coronal	m	coronal_m	2426.359	2426.3856666666666	0.999990	0.000010
184	a	3	n	coronal	n_coronal	2385.0966666666664	2385.1199999999994	0.999037	0.000963
185	a	3	coronal	m	coronal_m	2426.412333333333	2426.439	0.999753	0.000247
186	a	2	labial	labial	labial_labial	2388.5926666666664	2388.619333333333	0.998027	0.001973
187	a	2	n	coronal	n_coronal	2385.0733333333333	2385.0966666666664	0.929246	0.070754
188	a	2	n	dorsal	n_dorsal	2442.0243333333333	2442.0576666666666	0.999879	0.000121
189	a	3	labial	labial	labial_labial	2388.619333333333	2388.6459999999997	0.998617	0.001383
190	a	3	dorsal	coronal	dorsal_coronal	2537.427666666667	2537.4710000000005	0.968652	0.031348
191	a	1	labial	pause	labial_pause	2642.004	2642.0406666666668	0.158608	0.841392
192	a	3	coronal	coronal	coronal_coronal	2463.4336666666663	2463.4569999999994	0.995564	0.004436
193	a	2	coronal	coronal	coronal_coronal	2463.4103333333333	2463.4336666666663	0.999901	0.000099
194	a	3	n	coronal	n_coronal	2563.5926666666664	2563.6259999999997	0.950556	0.049444
195	a	2	labial	pause	labial_pause	2642.0406666666668	2642.0773333333336	0.158608	0.841392
196	a	1	dorsal	coronal	dorsal_coronal	2697.498	2697.5313333333334	0.876852	0.123148
197	a	1	dorsal	coronal	dorsal_coronal	2537.341	2537.3843333333334	0.998435	0.001565
198	a	1	coronal	coronal	coronal_coronal	2463.387	2463.4103333333333	0.999626	0.000374
199	a	2	dorsal	coronal	dorsal_coronal	2537.3843333333334	2537.427666666667	0.999208	0.000792
200	a	3	labial	pause	labial_pause	2642.0773333333336	2642.1140000000005	0.158608	0.841392
201	a	2	n	coronal	n_coronal	2563.559333333333	2563.5926666666664	0.990932	0.009068
202	a	2	dorsal	coronal	dorsal_coronal	2697.5313333333334	2697.5646666666667	0.051173	0.948827
203	a	1	n	coronal	n_coronal	2563.526	2563.559333333333	0.999201	0.000799
204	a	1	labial	dorsal	labial_dorsal	2754.51	2754.5333333333333	0.976489	0.023511
205	a	3	dorsal	coronal	dorsal_coronal	2757.9896666666664	2758.0129999999995	0.961918	0.038082
206	a	2	coronal	dorsal	coronal_dorsal	2697.718	2697.7479999999996	0.458146	0.541854
207	a	3	coronal	dorsal	coronal_dorsal	2697.7479999999996	2697.7779999999993	0.779784	0.220216
208	a	2	dorsal	coronal	dorsal_coronal	2757.9663333333333	2757.9896666666664	0.942145	0.057855
209	a	2	labial	coronal	labial_coronal	2749.0556666666666	2749.0923333333335	0.158608	0.841392
210	a	3	n	labial	n_labial	2754.0933333333332	2754.12	0.999488	0.000511
211	a	1	n	labial	n_labial	2754.04	2754.0666666666666	0.998544	0.001456
212	a	2	labial	dorsal	labial_dorsal	2754.5333333333333	2754.5566666666664	0.892057	0.107943
213	a	1	coronal	dorsal	coronal_dorsal	2708.333	2708.373	0.993895	0.006105
214	a	1	dorsal	coronal	dorsal_coronal	2757.943	2757.9663333333333	0.975890	0.024110
215	a	2	n	labial	n_labial	2754.0666666666666	2754.0933333333332	0.999386	0.000614
216	a	3	labial	coronal	labial_coronal	2749.0923333333335	2749.1290000000004	0.158608	0.841392
217	a	3	coronal	dorsal	coronal_dorsal	2708.413	2708.453	0.872205	0.127795
218	a	2	coronal	dorsal	coronal_dorsal	2708.373	2708.413	0.767276	0.232724
219	a	1	coronal	dorsal	coronal_dorsal	2697.688	2697.718	0.934321	0.065679
220	a	3	dorsal	coronal	dorsal_coronal	2697.5646666666667	2697.598	0.838765	0.161235
221	a	1	labial	coronal	labial_coronal	2749.019	2749.0556666666666	0.158608	0.841392
222	a	3	labial	dorsal	labial_dorsal	2754.5566666666664	2754.5799999999995	0.996101	0.003899
223	a	3	pause	dorsal	pause_dorsal	2782.8316666666665	2782.865	0.999710	0.000290
224	a	3	coronal	pause	coronal_pause	2762.8706666666667	2762.904	0.788948	0.211052
225	a	1	coronal	pause	coronal_pause	2763.294	2763.344	0.970213	0.029787
226	a	2	coronal	pause	coronal_pause	2762.8373333333334	2762.8706666666667	0.999205	0.000795
