segment	debut	fin
A	4112.8719999999985	4112.901999999999
A	4112.812	4112.842000000001
A	4112.842000000001	4112.8719999999985
A	4279.1196666666665	4279.146333333333
A	4203.335333333333	4203.388666666667
A	4240.872	4240.882000000001
A	4279.093	4279.1196666666665
A	4167.728999999998	4167.748999999999
A	4167.709	4167.728999999998
A	4268.203666666666	4268.260333333333
A	4240.862	4240.872
A	4240.882000000001	4240.892000000002
A	4186.685666666666	4186.728999999998
A	4198.526	4198.576
A	4268.147	4268.203666666666
A	4189.1359999999995	4189.146000000002
A	4186.599	4186.642333333333
A	4189.156000000001	4189.166000000001
A	4203.282	4203.335333333333
A	4203.388666666667	4203.442
A	4189.146000000002	4189.156000000001
A	4140.565	4140.608333333334
A	4140.651666666667	4140.694999999999
A	4268.260333333333	4268.316999999999
A	4140.608333333334	4140.651666666667
A	4198.576	4198.626
A	4198.476	4198.526
A	4186.642333333333	4186.685666666666
A	4167.689	4167.709
A	4374.364333333333	4374.391
A	4281.989666666666	4282.003
A	4457.844	4457.8606666666665
A	4454.585666666666	4454.628999999999
A	4451.53	4451.54
A	4373.647666666667	4373.670999999999
A	4279.359666666666	4279.376333333333
A	4450.633333333333	4450.656666666667
A	4450.61	4450.633333333333
A	4451.54	4451.55
A	4454.542333333333	4454.585666666666
A	4374.337666666666	4374.364333333333
A	4281.963	4281.976333333333
A	4455.305666666667	4455.319
A	4450.656666666667	4450.68
A	4373.601	4373.624333333333
A	4374.311	4374.337666666666
A	4454.499	4454.542333333333
A	4455.292333333334	4455.305666666667
A	4279.343	4279.359666666666
A	4455.279	4455.292333333334
A	4373.624333333333	4373.647666666667
A	4279.376333333333	4279.392999999999
A	4279.146333333333	4279.173
A	4457.8606666666665	4457.877333333333
A	4281.976333333333	4281.989666666666
A	4451.55	4451.56
A	4546.111	4546.121
A	4484.5250000000015	4484.535000000002
A	4484.515	4484.5250000000015
A	4545.691	4545.707666666666
A	4488.115	4488.134999999998
A	4457.877333333333	4457.893999999998
A	4545.707666666666	4545.724333333334
A	4487.951666666667	4487.9783333333335
A	4488.134999999998	4488.154999999999
A	4486.094999999998	4486.124999999999
A	4487.9783333333335	4488.005
A	4538.504000000001	4538.524000000001
A	4546.121	4546.130999999999
A	4546.101	4546.111
A	4538.484	4538.504000000001
A	4486.035	4486.065
A	4539.184	4539.224
A	4487.925	4487.951666666667
A	4484.535000000002	4484.545000000001
A	4548.478	4548.501333333334
A	4539.104	4539.144
A	4486.065	4486.094999999998
A	4488.095	4488.115
A	4539.144	4539.184
A	4545.724333333334	4545.740999999999
A	4538.464	4538.484
A	4548.501333333334	4548.524666666667
A	4769.8409999999985	4769.860999999999
A	4812.334999999999	4812.364999999999
A	4548.524666666667	4548.548000000002
A	4773.0233333333335	4773.05
A	4812.645	4812.655000000002
A	4793.313	4793.323
A	4823.937	4823.967000000001
A	4793.323	4793.333000000001
A	4769.8009999999995	4769.821
A	4769.821	4769.8409999999985
A	4705.218666666667	4705.235333333333
A	4705.235333333333	4705.252
A	4657.8240000000005	4657.837333333333
A	4770.221000000001	4770.241000000001
A	4812.275	4812.3049999999985
A	4772.996666666667	4773.0233333333335
A	4812.655000000002	4812.665000000001
A	4770.241000000001	4770.261000000001
A	4793.333000000001	4793.343000000002
A	4657.850666666666	4657.8640000000005
A	4772.97	4772.996666666667
A	4812.635	4812.645
A	4657.837333333333	4657.850666666666
A	4812.3049999999985	4812.334999999999
A	4770.201	4770.221000000001
A	4705.202	4705.218666666667
A	4832.4259999999995	4832.446000000001
A	4832.956	4832.965999999999
A	4832.446000000001	4832.466000000001
A	4833.255999999999	4833.276
A	4823.9969999999985	4824.026999999999
A	4833.2959999999985	4833.315999999999
A	4924.301666666667	4924.325000000002
A	4868.020333333333	4868.033666666666
A	4870.163666666667	4870.200333333334
A	4870.200333333334	4870.237000000001
A	4823.967000000001	4823.9969999999985
A	4924.278333333334	4924.301666666667
A	4832.946	4832.956
A	4824.533666666666	4824.560333333333
A	4824.5070000000005	4824.533666666666
A	4832.965999999999	4832.9760000000015
A	4861.997	4862.007000000001
A	4824.560333333333	4824.587
A	4862.007000000001	4862.017000000002
A	4924.255	4924.278333333334
A	4868.033666666666	4868.0470000000005
A	4870.127	4870.163666666667
A	4868.0070000000005	4868.020333333333
A	4862.017000000002	4862.027000000001
A	4832.406	4832.4259999999995
A	4833.276	4833.2959999999985
A	5130.127333333334	5130.174000000001
A	4926.538333333334	4926.575000000002
A	5040.8116666666665	5040.838333333333
A	5198.365	5198.385
A	5038.432333333334	5038.469000000001
A	5187.727333333333	5187.744000000001
A	4926.501666666667	4926.538333333334
A	5040.785	5040.8116666666665
A	5202.702333333334	5202.729
A	5203.549	5203.565666666666
A	5202.675666666667	5202.702333333334
A	5040.838333333333	5040.865
A	5198.385	5198.405000000002
A	5202.649	5202.675666666667
A	5038.359	5038.395666666667
A	5038.395666666667	5038.432333333334
A	5187.710666666667	5187.727333333333
A	5193.117666666667	5193.181000000001
A	5198.405000000002	5198.425000000001
A	5187.694	5187.710666666667
A	5130.080666666667	5130.127333333334
A	5130.034000000001	5130.080666666667
A	5203.565666666666	5203.582333333333
A	5192.991	5193.0543333333335
A	5193.0543333333335	5193.117666666667
A	4926.465	4926.501666666667
A	5208.772333333333	5208.795666666667
A	5208.749	5208.772333333333
A	5203.582333333333	5203.598999999998
A	5208.795666666667	5208.819
a	3294.744	3294.7739999999994
a	3287.344666666667	3287.371333333333
a	3265.0443333333337	3265.081000000001
a	3265.007666666667	3265.0443333333337
a	3301.8993333333333	3301.9426666666664
a	3301.8559999999998	3301.8993333333333
a	3294.684	3294.7140000000004
a	3287.371333333333	3287.3979999999997
a	3294.7140000000004	3294.744
a	3287.3179999999998	3287.344666666667
a	3264.9709999999995	3265.007666666667
a	3301.9426666666664	3301.9859999999994
a	3306.586	3306.619333333333
a	3305.662666666666	3305.719333333333
a	3310.0359999999996	3310.069333333333
a	3310.656	3310.682666666666
a	3310.682666666666	3310.7093333333332
a	3306.6526666666664	3306.686
a	3310.069333333333	3310.1026666666667
a	3310.1026666666667	3310.136
a	3306.619333333333	3306.6526666666664
a	3305.6059999999998	3305.662666666666
a	3305.719333333333	3305.7759999999994
a	3310.7093333333332	3310.736
a	3391.298	3391.3280000000004
a	3387.949	3387.972333333333
a	3367.2490000000003	3367.2756666666664
a	3391.474666666666	3391.501333333333
a	3399.81	3399.836666666666
a	3387.9956666666662	3388.0189999999993
a	3391.448	3391.474666666666
a	3367.302333333333	3367.329
a	3367.2756666666664	3367.302333333333
a	3399.8633333333332	3399.89
a	3399.836666666666	3399.8633333333332
a	3366.0856666666664	3366.139
a	3365.9790000000003	3366.032333333333
a	3366.032333333333	3366.0856666666664
a	3391.3280000000004	3391.358000000001
a	3366.2723333333333	3366.335666666667
a	3366.2090000000003	3366.2723333333333
a	3391.501333333333	3391.528
a	3387.972333333333	3387.9956666666662
a	3366.335666666667	3366.399000000001
a	3391.268	3391.298
a	3427.525333333333	3427.558666666667
a	3427.492	3427.525333333333
a	3451.1186666666663	3451.1419999999994
a	3446.505	3446.528333333333
a	3406.241	3406.2709999999997
a	3451.6386666666667	3451.6853333333333
a	3427.558666666667	3427.592
a	3440.995	3441.038333333333
a	3441.038333333333	3441.081666666667
a	3438.613666666666	3438.6603333333333
a	3451.072	3451.095333333333
a	3438.567	3438.613666666666
a	3438.6603333333333	3438.7070000000003
a	3451.592	3451.6386666666667
a	3406.2709999999997	3406.3010000000004
a	3446.528333333333	3446.5516666666663
a	3406.211	3406.241
a	3451.095333333333	3451.1186666666663
a	3446.5516666666663	3446.5749999999994
a	3441.081666666667	3441.1250000000005
a	3493.1313333333333	3493.158
a	3451.6853333333333	3451.732
a	3558.1873333333333	3558.2106666666664
a	3489.075333333333	3489.1420000000003
a	3536.595	3536.625
a	3486.3	3486.326666666667
a	3558.164	3558.1873333333333
a	3558.2106666666664	3558.2339999999995
a	3536.625	3536.655
a	3488.942	3489.008666666666
a	3489.008666666666	3489.075333333333
a	3486.326666666667	3486.353333333333
a	3493.078	3493.104666666666
a	3536.655	3536.6850000000004
a	3486.353333333333	3486.38
a	3493.104666666666	3493.1313333333333
a	3585.81	3585.87
a	3593.071	3593.1009999999997
a	3585.99	3586.0200000000004
a	3586.0200000000004	3586.050000000001
a	3563.952666666666	3563.979333333333
a	3585.75	3585.81
a	3585.87	3585.93
a	3593.1009999999997	3593.1310000000008
a	3563.979333333333	3564.006
a	3593.1310000000008	3593.1610000000005
a	3585.96	3585.99
a	3563.926	3563.952666666666
a	3595.9683333333337	3596.0516666666667
a	3606.8190000000004	3606.8590000000004
a	3606.8590000000004	3606.8990000000003
a	3614.748333333333	3614.775
a	3596.0516666666667	3596.135000000001
a	3625.06	3625.083333333334
a	3625.36	3625.39
a	3606.969	3607.009
a	3607.0490000000004	3607.0890000000004
a	3614.695	3614.721666666667
a	3607.009	3607.0490000000004
a	3625.083333333334	3625.106666666667
a	3606.8990000000003	3606.9390000000003
a	3614.721666666667	3614.748333333333
a	3625.106666666667	3625.130000000001
a	3614.848333333333	3614.891666666667
a	3614.891666666667	3614.935
a	3624.94	3624.97
a	3625.0000000000014	3625.030000000001
a	3614.805	3614.848333333333
a	3624.97	3625.0000000000014
a	3595.885	3595.9683333333337
a	3625.42	3625.45
a	3642.6946666666663	3642.761333333333
a	3652.331666666667	3652.3750000000014
a	3652.245	3652.288333333333
a	3645.933333333333	3645.956666666667
a	3645.91	3645.933333333333
a	3642.6279999999997	3642.6946666666663
a	3652.818333333333	3652.841666666666
a	3645.956666666667	3645.9800000000014
a	3652.288333333333	3652.331666666667
a	3652.841666666666	3652.864999999999
a	3642.761333333333	3642.828
a	3625.39	3625.42
a	3652.795	3652.818333333333
a	3657.373	3657.423
a	3678.5903333333335	3678.613666666667
a	3657.473	3657.523000000001
a	3675.8343333333332	3675.861
a	3675.9843333333333	3676.007666666667
a	3699.547	3699.6003333333333
a	3675.781	3675.807666666666
a	3657.723	3657.753000000001
a	3678.613666666667	3678.637000000001
a	3657.6929999999998	3657.723
a	3657.663	3657.6929999999998
a	3676.007666666667	3676.031
a	3657.423	3657.473
a	3678.567	3678.5903333333335
a	3675.961	3675.9843333333333
a	3675.807666666666	3675.8343333333332
a	3699.6003333333333	3699.653666666666
a	3713.4120000000003	3713.4353333333333
a	3719.434	3719.4573333333333
a	3699.653666666666	3699.7070000000003
a	3704.903666666667	3704.927000000001
a	3719.4573333333333	3719.4806666666655
a	3704.880333333334	3704.903666666667
a	3719.4806666666655	3719.504
a	3713.458666666667	3713.482
a	3704.857	3704.880333333334
a	3713.4353333333333	3713.458666666667
a	3773.033	3773.063
a	3773.063	3773.093
a	3773.093	3773.1230000000014
a	3784.2090000000003	3784.239
a	3784.239	3784.268999999999
a	3784.179	3784.2090000000003
a	3849.008	3849.0546666666655
a	3849.101333333333	3849.148
a	3849.0546666666655	3849.101333333333
