	son	tier	contexte_gauche	contexte_droit	contextes	temps_debut	temps_fin	proba_oral	proba_nasal
1	A	1	m	pause	m_pause	3157.82	3157.866666666667	0.388483	0.611517
2	A	3	coronal	coronal	coronal_coronal	3314.396	3314.416	0.164815	0.835185
3	A	1	labial	coronal	labial_coronal	3314.056	3314.0826666666667	0.201361	0.798639
4	A	3	labial	coronal	labial_coronal	3314.1093333333333	3314.136	0.450351	0.549649
5	A	2	coronal	coronal	coronal_coronal	3314.376	3314.396	0.164815	0.835185
6	A	2	coronal	coronal	coronal_coronal	3166.353666666667	3166.3803333333335	0.465943	0.534057
7	A	3	coronal	coronal	coronal_coronal	3166.3803333333335	3166.407	0.482728	0.517272
8	A	1	coronal	coronal	coronal_coronal	3166.327	3166.353666666667	0.418516	0.581484
9	A	2	labial	coronal	labial_coronal	3314.0826666666667	3314.1093333333333	0.148148	0.851852
10	A	1	coronal	coronal	coronal_coronal	3314.356	3314.376	0.164815	0.835185
11	A	2	coronal	m	coronal_m	1126.1256666666666	1126.1523333333332	0.148040	0.851960
12	A	2	m	coronal	m_coronal	1127.609	1127.639	0.407331	0.592669
13	A	1	dorsal	coronal	dorsal_coronal	1125.429	1125.449	0.164815	0.835185
14	A	3	dorsal	coronal	dorsal_coronal	1125.469	1125.489	0.164815	0.835185
15	A	1	m	coronal	m_coronal	1127.579	1127.609	0.466107	0.533893
16	A	3	coronal	m	coronal_m	1126.1523333333332	1126.1789999999999	0.225535	0.774465
17	A	1	coronal	m	coronal_m	1126.099	1126.1256666666666	0.368338	0.631662
18	A	3	m	coronal	m_coronal	1127.639	1127.6689999999999	0.426409	0.573591
19	A	3	dorsal	coronal	dorsal_coronal	1122.273	1122.3029999999999	0.620424	0.379576
20	A	2	dorsal	coronal	dorsal_coronal	1122.243	1122.273	0.348675	0.651325
21	A	2	dorsal	coronal	dorsal_coronal	1125.449	1125.469	0.164815	0.835185
22	A	1	dorsal	coronal	dorsal_coronal	1122.213	1122.243	0.510228	0.489772
23	A	2	m	pause	m_pause	1160.872	1160.882	0.057963	0.942037
24	A	1	m	pause	m_pause	1160.862	1160.872	0.057187	0.942813
25	A	1	labial	coronal	labial_coronal	1134.739	1134.7723333333333	0.673096	0.326904
26	A	1	pause	labial	pause_labial	1136.722	1136.7386666666666	0.164815	0.835185
27	A	2	pause	labial	pause_labial	1136.7386666666666	1136.7553333333333	0.164815	0.835185
28	A	3	m	pause	m_pause	1160.882	1160.892	0.044774	0.955226
29	A	3	labial	coronal	labial_coronal	1134.8056666666666	1134.839	0.666029	0.333971
30	A	1	pause	pause	pause_pause	1145.17	1145.21	0.743810	0.256190
