	precision_0	recall_0	f1_score_0	support_0	precision_1	recall_1	f1_score_1	support_1	f1_score_accuracy	support_accuracy	precision_macro_avg	recall_macro_avg	f1_score_macro_avg	support_macro_avg	precision_weighted_avg	recall_weighted_avg	f1_score_weighted_avg	support_weighted_avg
03_12_07_nb1_1_16	0.85	0.70	0.77	165	0.75	0.87	0.80	165	0.79	330	0.80	0.79	0.79	330	0.80	0.79	0.79	330
03_12_07_nb1_2_16	0.87	0.83	0.85	165	0.84	0.88	0.86	165	0.85	330	0.86	0.85	0.85	330	0.86	0.85	0.85	330
04_12_07_nb1_1_16	0.86	0.83	0.84	165	0.84	0.86	0.85	165	0.85	330	0.85	0.85	0.85	330	0.85	0.85	0.85	330
04_12_07_nb1_2_16	0.97	0.88	0.92	165	0.89	0.97	0.93	165	0.93	330	0.93	0.93	0.93	330	0.93	0.93	0.93	330
04_12_07_nb2_1_16	0.95	0.76	0.85	165	0.80	0.96	0.87	165	0.86	330	0.87	0.86	0.86	330	0.87	0.86	0.86	330
04_12_07_nb2_2_16	0.88	0.89	0.88	165	0.89	0.87	0.88	165	0.88	330	0.88	0.88	0.88	330	0.88	0.88	0.88	330
04_12_07_nb3_1_16	0.89	0.78	0.83	165	0.80	0.90	0.85	165	0.84	330	0.84	0.84	0.84	330	0.84	0.84	0.84	330
04_12_07_nb3_2_16	0.88	0.87	0.88	165	0.87	0.88	0.88	165	0.88	330	0.88	0.88	0.88	330	0.88	0.88	0.88	330
05_12_07_nb1_1_16	0.87	0.84	0.86	165	0.85	0.87	0.86	165	0.86	330	0.86	0.86	0.86	330	0.86	0.86	0.86	330
05_12_07_nb1_2_16	0.90	0.86	0.88	165	0.87	0.90	0.88	165	0.88	330	0.88	0.88	0.88	330	0.88	0.88	0.88	330
14_11_07_nb1_1_16	0.80	0.90	0.85	165	0.89	0.77	0.82	165	0.84	330	0.84	0.84	0.84	330	0.84	0.84	0.84	330
14_11_07_nb1_2_16	0.85	0.76	0.80	165	0.78	0.86	0.82	165	0.81	330	0.82	0.81	0.81	330	0.82	0.81	0.81	330
14_11_07_nb2_1_16	0.87	0.70	0.78	165	0.75	0.90	0.82	165	0.80	330	0.81	0.80	0.80	330	0.81	0.80	0.80	330
14_11_07_nb2_2_16	0.81	0.82	0.82	165	0.82	0.81	0.82	165	0.82	330	0.82	0.82	0.82	330	0.82	0.82	0.82	330
16_11_07_nb1_1_16	0.91	0.87	0.89	165	0.87	0.92	0.89	165	0.89	330	0.89	0.89	0.89	330	0.89	0.89	0.89	330
16_11_07_nb1_2_16	0.91	0.87	0.89	165	0.88	0.92	0.90	165	0.89	330	0.89	0.89	0.89	330	0.89	0.89	0.89	330
16_11_07_nb2_1_16	0.91	0.86	0.88	165	0.87	0.92	0.89	165	0.89	330	0.89	0.89	0.89	330	0.89	0.89	0.89	330
16_11_07_nb2_2_16	0.87	0.89	0.88	165	0.89	0.87	0.88	165	0.88	330	0.88	0.88	0.88	330	0.88	0.88	0.88	330
20_11_07_nb1_1_16	0.82	0.84	0.83	165	0.84	0.81	0.82	165	0.83	330	0.83	0.83	0.83	330	0.83	0.83	0.83	330
