	nb_total_faux_a	f0_mean_mean_a	nb_faux_a_f0_mean_bas	nb_faux_a_f0_mean_eleve	tendance_a	nb_total_faux_A	f0_mean_mean_A	nb_faux_A_f0_mean_bas	nb_faux_A_f0_mean_eleve	tendance_A
28_11_07_nb2_1_16	50	112.65514054314997	25	25	egal	16	108.9736113184929	7	9	eleve
28_11_07_nb2_2_16	14	108.4481793163862	9	5	bas	24	101.8609825962102	2	22	eleve
29_11_07_nb1_2_16	31	187.76444162525502	10	21	eleve	47	217.14708970807763	16	31	eleve
29_11_07_nb2_1_16	41	126.05642070857816	27	14	bas	26	119.98182843757544	5	21	eleve
29_11_07_nb2_2_16	30	117.97539296466485	19	11	bas	12	117.45040510220824	6	6	egal
30_11_07_nb1_1_16	37	150.4999089212687	21	16	bas	34	165.4925055304455	19	15	bas
30_11_07_nb1_2_16	34	139.1159075483542	19	15	bas	14	131.80928249862097	5	9	eleve
27_11_07_nb1_1_16	33	201.68749141590396	15	18	eleve	13	201.74514301255073	6	7	eleve
27_11_07_nb1_2_16	15	213.29592954399135	11	4	bas	21	203.81320710048783	9	12	eleve
27_11_07_nb2_1_16	27	220.39605793742442	15	12	bas	18	196.91658032362085	6	12	eleve
27_11_07_nb2_2_16	30	223.2084961140273	13	17	eleve	9	215.51688584883823	3	6	eleve
28_11_07_nb1_1_16	12	201.48301137297548	4	8	eleve	22	182.75823445244086	9	13	eleve
28_11_07_nb1_2_16	31	185.3427142970882	9	22	eleve	13	203.021492219691	3	10	eleve
26_11_07_nb1_1_16	22	130.4580193290343	16	6	bas	8	95.49029874622634	3	5	eleve
26_11_07_nb1_2_16	29	102.47768888012462	9	20	eleve	25	90.62398425606278	0	25	eleve
26_11_07_nb2_1_16	31	254.4336147309306	17	14	bas	20	280.02585408557945	8	12	eleve
26_11_07_nb2_2_16	34	209.53385430887772	14	20	eleve	10	188.4587613056656	4	6	eleve
26_11_07_nb3_1_16	14	146.76927606105505	7	7	egal	21	143.26467552370048	10	11	eleve
26_11_07_nb3_2_16	21	129.35107485141887	17	4	bas	34	114.21713251980015	13	21	eleve
22_11_07_nb1_1_16	22	215.48794930669925	10	12	eleve	15	208.47179424695594	4	11	eleve
22_11_07_nb1_2_16	24	192.77834156474847	12	12	egal	36	214.9326675996585	12	24	eleve
22_11_07_nb2_1_16	22	191.51631026836873	6	16	eleve	30	183.97313999301156	8	22	eleve
22_11_07_nb2_2_16	17	248.68027194060622	8	9	eleve	26	228.44685520918222	14	12	bas
23_11_07_nb1_1_16	18	224.4106000602516	6	12	eleve	9	245.98849020407567	3	6	eleve
23_11_07_nb1_2_16	21	212.80057672238556	14	7	bas	17	209.34813146181313	11	6	bas
16_11_07_nb1_1_16	22	231.10865586346586	15	7	bas	14	227.0119468361988	6	8	eleve
16_11_07_nb1_2_16	21	204.4705527753675	10	11	eleve	14	186.64295241945317	4	10	eleve
16_11_07_nb2_1_16	23	194.33907836220715	13	10	bas	14	174.14046396482692	3	11	eleve
16_11_07_nb2_2_16	18	233.10759965022388	9	9	egal	22	245.0864062215838	12	10	bas
20_11_07_nb1_1_16	26	218.30968812166415	14	12	bas	31	213.75788173601703	2	29	eleve
20_11_07_nb1_2_16	13	195.90253791643687	8	5	bas	13	207.4130607109957	2	11	eleve
05_12_07_nb1_1_16	26	117.01037709197745	9	17	eleve	21	123.43169408338117	10	11	eleve
05_12_07_nb1_2_16	23	124.26509276496145	11	12	eleve	16	131.7411358230199	9	7	bas
14_11_07_nb1_1_16	16	107.34545485485071	12	4	bas	38	100.21940914372809	17	21	eleve
14_11_07_nb1_2_16	39	94.87432067929804	20	19	bas	23	84.08995392945845	5	18	eleve
14_11_07_nb2_1_16	49	131.11099734745403	27	22	bas	17	119.05850079343445	12	5	bas
14_11_07_nb2_2_16	29	117.01515224020217	12	17	eleve	31	110.6874045342442	12	19	eleve
04_12_07_nb1_1_16	28	136.92122925238834	12	16	eleve	23	123.62036351259832	15	8	bas
04_12_07_nb1_2_16	19	150.41652041161234	12	7	bas	5	146.60893182841906	0	5	eleve
04_12_07_nb2_1_16	39	104.29311264506703	17	22	eleve	7	90.64127238927966	1	6	eleve
04_12_07_nb2_2_16	18	123.32814934904582	4	14	eleve	21	114.52250629755407	12	9	bas
04_12_07_nb3_1_16	37	98.71493943816787	17	20	eleve	16	100.39394439312964	7	9	eleve
04_12_07_nb3_2_16	21	108.73996082618065	5	16	eleve	19	98.61659515625759	4	15	eleve
03_12_07_nb1_1_16	49	125.38779933908313	29	20	bas	21	118.24412621253522	16	5	bas
03_12_07_nb1_2_16	28	124.18807703855667	17	11	bas	20	115.37722005671726	9	11	eleve
