	nb_total_faux_a	intensite_milieuV_mean_a	nb_faux_a_intensite_milieuV_bas	nb_faux_a_intensite_milieuV_eleve	tendance_a	nb_total_faux_A	intensite_milieuV_mean_A	nb_faux_A_intensite_milieuV_bas	nb_faux_A_intensite_milieuV_eleve	tendance_A
28_11_07_nb2_1_16	50	58.428423784303135	23	27	eleve	16	58.90879216718679	9	7	bas
28_11_07_nb2_2_16	14	57.19414882797007	11	3	bas	24	51.6558331937674	8	16	eleve
29_11_07_nb1_2_16	31	65.81640083766575	9	22	eleve	47	65.15054991616962	11	36	eleve
29_11_07_nb2_1_16	41	63.300995104484606	32	9	bas	26	62.08215045404214	13	13	egal
29_11_07_nb2_2_16	30	64.71218066491292	25	5	bas	12	61.29561945955082	8	4	bas
30_11_07_nb1_1_16	37	68.70927461970601	27	10	bas	34	67.75171277444514	16	18	eleve
30_11_07_nb1_2_16	34	68.45237784545392	21	13	bas	14	61.47040607111316	6	8	eleve
27_11_07_nb1_1_16	33	62.642296922042654	18	15	bas	13	57.92211237564144	4	9	eleve
27_11_07_nb1_2_16	15	61.56749172121088	12	3	bas	21	54.95936918302523	10	11	eleve
27_11_07_nb2_1_16	27	58.41708940879345	16	11	bas	18	49.9357448304046	6	12	eleve
27_11_07_nb2_2_16	30	57.26502139397108	17	13	bas	9	55.797082115425766	2	7	eleve
28_11_07_nb1_1_16	12	67.7370450136405	7	5	bas	22	63.079174345614824	6	16	eleve
28_11_07_nb1_2_16	31	65.48289422237545	17	14	bas	13	63.04512464051124	7	6	bas
26_11_07_nb1_1_16	22	59.68864371414889	8	14	eleve	8	51.27593046595759	6	2	bas
26_11_07_nb1_2_16	29	62.21607613855275	16	13	bas	25	55.28259148045526	10	15	eleve
26_11_07_nb2_1_16	31	62.885127780728695	17	14	bas	20	59.998328799548084	3	17	eleve
26_11_07_nb2_2_16	34	68.73526394893474	21	13	bas	10	66.36229818284696	3	7	eleve
26_11_07_nb3_1_16	14	66.35319804969242	5	9	eleve	21	62.784450636118855	6	15	eleve
26_11_07_nb3_2_16	21	57.105659587054745	14	7	bas	34	53.08831704338603	6	28	eleve
22_11_07_nb1_1_16	22	63.75535594772229	10	12	eleve	15	61.450862597783704	4	11	eleve
22_11_07_nb1_2_16	24	60.753496347799384	8	16	eleve	36	58.649296025305176	17	19	eleve
22_11_07_nb2_1_16	22	61.62375755058239	13	9	bas	30	56.51051719836533	11	19	eleve
22_11_07_nb2_2_16	17	69.81568097974296	8	9	eleve	26	58.502782968201096	4	22	eleve
23_11_07_nb1_1_16	18	58.46580965027184	7	11	eleve	9	57.360262232736126	3	6	eleve
23_11_07_nb1_2_16	21	59.23894998603262	14	7	bas	17	57.76747816892382	5	12	eleve
16_11_07_nb1_1_16	22	67.79269229701475	15	7	bas	14	59.594371868050295	4	10	eleve
16_11_07_nb1_2_16	21	62.41960726836912	7	14	eleve	14	54.90139031790159	1	13	eleve
16_11_07_nb2_1_16	23	53.886006814961334	16	7	bas	14	47.963502547726506	3	11	eleve
16_11_07_nb2_2_16	18	47.76122735821039	16	2	bas	22	43.20857525136211	5	17	eleve
20_11_07_nb1_1_16	26	64.22322872942772	17	9	bas	31	61.09655482150275	2	29	eleve
20_11_07_nb1_2_16	13	60.83289924847583	12	1	bas	13	55.8574834147204	3	10	eleve
05_12_07_nb1_1_16	26	69.40133928674386	13	13	egal	21	69.15196613120105	8	13	eleve
05_12_07_nb1_2_16	23	65.88434184810298	15	8	bas	16	61.309498664208625	7	9	eleve
14_11_07_nb1_1_16	16	60.58081450778335	13	3	bas	38	57.61846149207332	14	24	eleve
14_11_07_nb1_2_16	39	50.34183130995443	26	13	bas	23	50.83013015181172	9	14	eleve
14_11_07_nb2_1_16	49	59.746705718205966	24	25	eleve	17	56.45120187557178	6	11	eleve
14_11_07_nb2_2_16	29	54.81561426354225	16	13	bas	31	47.609229625875365	19	12	bas
04_12_07_nb1_1_16	28	68.22566271778982	15	13	bas	23	64.21410201195377	12	11	bas
04_12_07_nb1_2_16	19	72.16747197763901	13	6	bas	5	64.84737617733197	0	5	eleve
04_12_07_nb2_1_16	39	68.74097357495965	24	15	bas	7	62.1699295032122	6	1	bas
04_12_07_nb2_2_16	18	67.63838395456693	9	9	egal	21	60.40963287934848	13	8	bas
04_12_07_nb3_1_16	37	60.55249318104619	17	20	eleve	16	58.3270924725168	11	5	bas
04_12_07_nb3_2_16	21	59.609308605565346	11	10	bas	19	61.69112012338237	11	8	bas
03_12_07_nb1_1_16	49	58.63339406626603	27	22	bas	21	56.99262710552916	16	5	bas
03_12_07_nb1_2_16	28	67.50617841717407	12	16	eleve	20	61.38348905385097	9	11	eleve
