	nb_total_faux_a	intensite_mean_mean_a	nb_faux_a_intensite_mean_bas	nb_faux_a_intensite_mean_eleve	tendance_a	nb_total_faux_A	intensite_mean_mean_A	nb_faux_A_intensite_mean_bas	nb_faux_A_intensite_mean_eleve	tendance_A
28_11_07_nb2_1_16	50	58.86557627724467	26	24	bas	16	59.10646390606055	9	7	bas
28_11_07_nb2_2_16	14	57.21173327082303	11	3	bas	24	51.71519843642535	8	16	eleve
29_11_07_nb1_2_16	31	65.83651366530871	9	22	eleve	47	65.12414802517021	11	36	eleve
29_11_07_nb2_1_16	41	63.75946748529827	31	10	bas	26	62.18129004844189	13	13	egal
29_11_07_nb2_2_16	30	64.87217674349053	24	6	bas	12	61.31241623297197	8	4	bas
30_11_07_nb1_1_16	37	68.80205989532044	27	10	bas	34	67.83221887545184	16	18	eleve
30_11_07_nb1_2_16	34	68.94734602781517	20	14	bas	14	61.53304663489078	6	8	eleve
27_11_07_nb1_1_16	33	62.643050271506326	19	14	bas	13	57.97626427985996	4	9	eleve
27_11_07_nb1_2_16	15	61.72842181592485	13	2	bas	21	55.141672016781136	10	11	eleve
27_11_07_nb2_1_16	27	58.61130639392784	16	11	bas	18	50.04102464396985	6	12	eleve
27_11_07_nb2_2_16	30	57.27374427166147	16	14	bas	9	55.909163555734004	3	6	eleve
28_11_07_nb1_1_16	12	67.83636089855398	6	6	egal	22	63.133526360808176	7	15	eleve
28_11_07_nb1_2_16	31	65.41387691029848	17	14	bas	13	63.00935086939455	7	6	bas
26_11_07_nb1_1_16	22	59.66592567861776	8	14	eleve	8	51.55254786182928	6	2	bas
26_11_07_nb1_2_16	29	62.30500752887281	15	14	bas	25	55.33540344272788	10	15	eleve
26_11_07_nb2_1_16	31	62.92701430803814	17	14	bas	20	60.18231833715902	5	15	eleve
26_11_07_nb2_2_16	34	68.72472359773265	20	14	bas	10	66.58986883397395	3	7	eleve
26_11_07_nb3_1_16	14	66.36990399701011	6	8	eleve	21	62.80585243771586	6	15	eleve
26_11_07_nb3_2_16	21	57.6445349279829	11	10	bas	34	53.2429295632692	5	29	eleve
22_11_07_nb1_1_16	22	63.76157113888032	12	10	bas	15	61.468586079171104	5	10	eleve
22_11_07_nb1_2_16	24	60.74102614097665	8	16	eleve	36	58.717777670999304	15	21	eleve
22_11_07_nb2_1_16	22	61.740731173019704	13	9	bas	30	56.629351341109334	11	19	eleve
22_11_07_nb2_2_16	17	70.09296310695572	8	9	eleve	26	58.62928565330251	3	23	eleve
23_11_07_nb1_1_16	18	58.50404853850703	8	10	eleve	9	57.684665812276975	3	6	eleve
23_11_07_nb1_2_16	21	59.33946045052147	14	7	bas	17	57.844634967016994	5	12	eleve
16_11_07_nb1_1_16	22	68.10298334773358	15	7	bas	14	59.82438528748061	5	9	eleve
16_11_07_nb1_2_16	21	62.493939216230906	8	13	eleve	14	54.902413721878055	1	13	eleve
16_11_07_nb2_1_16	23	53.83499762266939	16	7	bas	14	48.077183767839145	3	11	eleve
16_11_07_nb2_2_16	18	47.92496906458347	15	3	bas	22	43.527397047668956	7	15	eleve
20_11_07_nb1_1_16	26	64.31497737572394	17	9	bas	31	61.21733530012018	1	30	eleve
20_11_07_nb1_2_16	13	60.877946194802014	12	1	bas	13	55.878182253466896	2	11	eleve
05_12_07_nb1_1_16	26	69.59152887462582	15	11	bas	21	69.19523598844985	8	13	eleve
05_12_07_nb1_2_16	23	66.10297297334071	15	8	bas	16	61.377105207946606	7	9	eleve
14_11_07_nb1_1_16	16	60.72904132593836	13	3	bas	38	57.848133452620694	15	23	eleve
14_11_07_nb1_2_16	39	50.86432443167903	26	13	bas	23	51.03233605704474	9	14	eleve
14_11_07_nb2_1_16	49	59.86636579438526	24	25	eleve	17	56.77193460742203	8	9	eleve
14_11_07_nb2_2_16	29	55.12387228119358	16	13	bas	31	47.77893429163021	19	12	bas
04_12_07_nb1_1_16	28	68.26654418752783	15	13	bas	23	64.35094456389778	12	11	bas
04_12_07_nb1_2_16	19	72.315609737537	13	6	bas	5	64.88991771330458	0	5	eleve
04_12_07_nb2_1_16	39	68.88795173323095	24	15	bas	7	62.15724445102891	7	0	bas
04_12_07_nb2_2_16	18	67.64380795823571	9	9	egal	21	60.52611547736672	11	10	bas
04_12_07_nb3_1_16	37	60.537788458208865	17	20	eleve	16	58.47237333268231	11	5	bas
04_12_07_nb3_2_16	21	59.76815518135885	13	8	bas	19	61.762574202186364	11	8	bas
03_12_07_nb1_1_16	49	58.96309302207286	27	22	bas	21	57.1104052106253	17	4	bas
03_12_07_nb1_2_16	28	67.52367273899456	12	16	eleve	20	61.49498144783832	8	12	eleve
